Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,22.0,TOT,NBA,PF,71.0,,25.0,4.1,11.5,0.357,1.9,2.7,0.677,8.7,1.2,2.6,10.1
1956-57,22.0,STL,NBA,,19.0,,23.1,4.1,11.1,0.365,2.2,3.2,0.683,8.8,1.2,3.0,10.3
1956-57,22.0,NYK,NBA,PF,52.0,,25.8,4.2,11.7,0.355,1.8,2.6,0.674,8.7,1.2,2.5,10.1
1957-58,23.0,NYK,NBA,SF,68.0,,34.8,6.9,17.5,0.397,4.2,5.1,0.826,11.8,1.4,3.2,18.1
1958-59,24.0,NYK,NBA,SF,68.0,,30.3,6.0,15.8,0.378,3.8,4.6,0.83,10.6,1.5,3.4,15.7
1959-60,25.0,NYK,NBA,SF,65.0,,34.6,8.5,19.8,0.428,4.4,5.3,0.836,14.2,2.1,3.3,21.4
1960-61,26.0,NYK,NBA,SF,79.0,,37.7,9.3,21.8,0.428,4.7,5.8,0.816,13.4,2.4,3.4,23.4
1961-62,27.0,NYK,NBA,SF,75.0,,39.7,10.0,24.0,0.415,5.1,6.1,0.842,11.6,2.6,3.5,25.0
1962-63,28.0,TOT,NBA,SF,70.0,,27.2,5.3,12.7,0.417,2.4,3.0,0.802,7.4,1.5,2.9,12.9
1962-63,28.0,NYK,NBA,SF,23.0,,29.4,6.7,16.3,0.413,3.4,4.2,0.813,8.7,1.9,1.8,16.9
1962-63,28.0,SFW,NBA,SF,47.0,,26.1,4.6,10.9,0.42,1.9,2.4,0.793,6.7,1.2,3.5,11.0
1963-64,29.0,BOS,NBA,SF,78.0,,18.1,4.1,9.9,0.417,1.6,2.0,0.796,4.6,0.8,2.7,9.8
1964-65,30.0,BOS,NBA,SF,71.0,,20.6,4.3,11.1,0.384,2.0,2.5,0.813,4.7,1.0,3.2,10.5
1965-66,31.0,BOS,NBA,SF,71.0,,20.2,4.6,11.5,0.402,1.5,1.8,0.794,4.5,1.0,2.8,10.7
Career,,,NBA,,716.0,,28.8,6.3,15.6,0.406,3.1,3.9,0.812,9.1,1.6,3.1,15.8
,,,,,,,,,,,,,,,,,
7 seasons,,NYK,NBA,,430.0,,34.1,7.6,18.7,0.408,4.1,5.0,0.819,11.7,1.9,3.2,19.3
3 seasons,,BOS,NBA,,220.0,,19.6,4.3,10.8,0.401,1.7,2.1,0.802,4.6,0.9,2.9,10.3
1 season,,SFW,NBA,,47.0,,26.1,4.6,10.9,0.42,1.9,2.4,0.793,6.7,1.2,3.5,11.0
1 season,,STL,NBA,,19.0,,23.1,4.1,11.1,0.365,2.2,3.2,0.683,8.8,1.2,3.0,10.3
