Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22.0,CHZ,NBA,SF,62.0,,17.3,2.1,4.7,0.44,2.6,3.6,0.729,,,4.5,1.2,,,2.2,6.8
1963-64,23.0,LAL,NBA,SF,80.0,,17.6,1.7,4.0,0.418,1.9,2.5,0.741,,,4.0,1.0,,,2.3,5.2
1964-65,24.0,LAL,NBA,SF,39.0,,6.1,0.9,2.2,0.424,0.5,0.7,0.769,,,1.9,0.6,,,1.0,2.4
1965-66,25.0,BOS,NBA,SF,75.0,,23.5,3.6,8.2,0.439,3.0,4.3,0.684,,,5.4,1.1,,,2.5,10.2
1966-67,26.0,BOS,NBA,SF,79.0,,15.2,2.9,6.4,0.446,1.8,2.4,0.742,,,3.7,0.8,,,1.8,7.5
1967-68,27.0,BOS,NBA,SF,82.0,,18.3,3.8,7.7,0.494,2.4,3.3,0.728,,,5.3,1.3,,,2.2,10.0
1968-69,28.0,BOS,NBA,SF,82.0,,21.6,4.6,9.4,0.485,2.5,3.2,0.776,,,5.6,1.1,,,2.4,11.6
1969-70,29.0,BOS,NBA,PF,82.0,,27.1,5.6,11.2,0.501,4.1,5.3,0.775,,,7.3,1.8,,,2.9,15.4
1970-71,30.0,BOS,NBA,SF,82.0,,27.5,5.0,10.7,0.468,3.9,5.2,0.744,,,6.9,1.9,,,2.8,13.9
1971-72,31.0,BOS,NBA,PF,82.0,,25.4,4.7,9.9,0.48,4.3,5.5,0.788,,,5.5,2.3,,,2.7,13.8
1972-73,32.0,BOS,NBA,SF,72.0,,19.8,4.3,9.0,0.476,2.2,2.6,0.846,,,4.4,1.4,,,2.2,10.8
1973-74,33.0,BOS,NBA,SF,82.0,,21.3,4.4,8.7,0.508,2.6,3.3,0.788,1.1,3.1,4.2,2.0,0.2,0.2,2.3,11.5
1974-75,34.0,BOS,NBA,SF,79.0,,26.0,5.4,9.9,0.539,3.3,4.0,0.827,1.6,4.3,5.9,2.3,0.4,0.2,3.0,14.0
1975-76,35.0,BOS,NBA,SF,75.0,,12.6,2.3,5.1,0.462,1.7,2.1,0.789,0.7,1.7,2.4,1.0,0.2,0.1,1.5,6.4
Career,,,NBA,,1053.0,,20.6,3.8,8.0,0.48,2.7,3.6,0.765,1.2,3.1,4.9,1.4,0.3,0.1,2.3,10.3
,,,,,,,,,,,,,,,,,,,,,
11 seasons,,BOS,NBA,,872.0,,21.8,4.3,8.8,0.484,2.9,3.8,0.769,1.2,3.1,5.2,1.6,0.3,0.1,2.4,11.4
2 seasons,,LAL,NBA,,119.0,,13.8,1.4,3.4,0.419,1.4,1.9,0.744,,,3.3,0.8,,,1.9,4.3
1 season,,CHZ,NBA,,62.0,,17.3,2.1,4.7,0.44,2.6,3.6,0.729,,,4.5,1.2,,,2.2,6.8
