Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22.0,CHI,NBA,C,81.0,,14.3,2.3,5.9,0.389,,,,2.3,5.9,0.389,0.389,1.1,1.7,0.619,,,4.3,0.7,,2.5,5.6
1969-70,23.0,ATL,NBA,C,64.0,,9.6,2.0,4.6,0.429,,,,2.0,4.6,0.429,0.429,0.9,1.2,0.766,,,2.7,0.7,,2.0,4.9
1970-71,24.0,CAR,ABA,C,31.0,,14.7,3.2,6.7,0.478,0.0,0.0,,3.2,6.7,0.478,0.478,1.1,1.9,0.567,1.5,3.6,5.1,0.9,1.3,2.7,7.5
Career,,,TOT,,176.0,,12.7,2.3,5.6,0.42,0.0,0.0,,2.3,5.6,0.42,0.42,1.0,1.6,0.649,1.5,3.6,3.9,0.7,1.3,2.4,5.7
,,,NBA,,145.0,,12.2,2.2,5.3,0.405,,,,2.2,5.3,0.405,0.405,1.0,1.5,0.671,,,3.6,0.7,,2.3,5.3
,,,ABA,,31.0,,14.7,3.2,6.7,0.478,0.0,0.0,,3.2,6.7,0.478,0.478,1.1,1.9,0.567,1.5,3.6,5.1,0.9,1.3,2.7,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,CHI,NBA,,81.0,,14.3,2.3,5.9,0.389,,,,2.3,5.9,0.389,0.389,1.1,1.7,0.619,,,4.3,0.7,,2.5,5.6
1 season,,ATL,NBA,,64.0,,9.6,2.0,4.6,0.429,,,,2.0,4.6,0.429,0.429,0.9,1.2,0.766,,,2.7,0.7,,2.0,4.9
1 season,,CAR,ABA,,31.0,,14.7,3.2,6.7,0.478,0.0,0.0,,3.2,6.7,0.478,0.478,1.1,1.9,0.567,1.5,3.6,5.1,0.9,1.3,2.7,7.5
