Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,22.0,TOT,NBA,C,34.0,,8.0,1.3,3.1,0.415,,,,1.3,3.1,0.415,0.415,0.6,0.7,0.76,,,2.9,0.5,,,1.8,3.1
1968-69,22.0,DET,NBA,C,16.0,,7.7,1.3,2.9,0.426,,,,1.3,2.9,0.426,0.426,0.5,0.6,0.8,,,2.6,0.6,,,1.9,3.0
1968-69,22.0,MIL,NBA,C,18.0,,8.3,1.3,3.3,0.407,,,,1.3,3.3,0.407,0.407,0.6,0.8,0.733,,,3.3,0.4,,,1.7,3.3
1969-70,23.0,TOT,TOT,C,69.0,,21.5,4.2,8.8,0.474,0.0,0.0,,4.2,8.8,0.474,0.474,2.1,2.8,0.737,2.5,,8.2,1.3,,2.0,3.3,10.4
1969-70,23.0,BOS,NBA,C,6.0,,3.0,0.3,0.8,0.4,,,,0.3,0.8,0.4,0.4,0.3,0.3,1.0,,,1.0,0.3,,,1.7,1.0
1969-70,23.0,CAR,ABA,C,63.0,,23.3,4.5,9.5,0.474,0.0,0.0,,4.5,9.5,0.474,0.474,2.2,3.0,0.734,2.7,6.2,8.9,1.4,,2.2,3.5,11.3
1970-71,24.0,FLO,ABA,C,51.0,,12.6,2.4,4.7,0.502,0.0,0.0,,2.4,4.7,0.502,0.502,0.8,1.2,0.717,1.5,3.5,5.0,0.6,,1.1,2.7,5.6
1971-72,25.0,DLC,ABA,C,33.0,,15.9,1.5,3.0,0.49,0.0,0.0,,1.5,3.0,0.49,0.49,0.8,1.0,0.735,1.4,3.3,4.7,0.7,,0.8,2.6,3.7
Career,,,TOT,,187.0,,15.6,2.7,5.6,0.476,0.0,0.0,,2.7,5.6,0.476,0.476,1.2,1.7,0.735,2.0,4.6,5.8,0.8,,1.5,2.7,6.6
,,,ABA,,147.0,,17.9,3.1,6.4,0.483,0.0,0.0,,3.1,6.4,0.483,0.483,1.4,1.9,0.731,2.0,4.6,6.6,1.0,,1.5,3.0,7.6
,,,NBA,,40.0,,7.3,1.2,2.8,0.414,,,,1.2,2.8,0.414,0.414,0.5,0.7,0.778,,,2.7,0.5,,,1.8,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,CAR,ABA,,63.0,,23.3,4.5,9.5,0.474,0.0,0.0,,4.5,9.5,0.474,0.474,2.2,3.0,0.734,2.7,6.2,8.9,1.4,,2.2,3.5,11.3
1 season,,FLO,ABA,,51.0,,12.6,2.4,4.7,0.502,0.0,0.0,,2.4,4.7,0.502,0.502,0.8,1.2,0.717,1.5,3.5,5.0,0.6,,1.1,2.7,5.6
1 season,,DLC,ABA,,33.0,,15.9,1.5,3.0,0.49,0.0,0.0,,1.5,3.0,0.49,0.49,0.8,1.0,0.735,1.4,3.3,4.7,0.7,,0.8,2.6,3.7
1 season,,MIL,NBA,,18.0,,8.3,1.3,3.3,0.407,,,,1.3,3.3,0.407,0.407,0.6,0.8,0.733,,,3.3,0.4,,,1.7,3.3
1 season,,DET,NBA,,16.0,,7.7,1.3,2.9,0.426,,,,1.3,2.9,0.426,0.426,0.5,0.6,0.8,,,2.6,0.6,,,1.9,3.0
1 season,,BOS,NBA,,6.0,,3.0,0.3,0.8,0.4,,,,0.3,0.8,0.4,0.4,0.3,0.3,1.0,,,1.0,0.3,,,1.7,1.0
