Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,27.0,FTW,BAA,,55.0,,,2.1,6.0,0.347,2.4,3.0,0.8,,1.7,2.1,6.6
1949-50,28.0,TOT,NBA,,60.0,,,1.8,5.8,0.314,1.7,2.3,0.748,,1.9,1.3,5.4
1949-50,28.0,FTW,NBA,,31.0,,,1.9,6.7,0.285,1.8,2.4,0.767,,2.0,1.4,5.6
1949-50,28.0,AND,NBA,,29.0,,,1.8,4.9,0.357,1.7,2.3,0.727,,1.9,1.2,5.2
Career,,,TOT,,115.0,,,2.0,5.9,0.33,2.1,2.6,0.776,,1.8,1.7,6.0
,,,NBA,,60.0,,,1.8,5.8,0.314,1.7,2.3,0.748,,1.9,1.3,5.4
,,,BAA,,55.0,,,2.1,6.0,0.347,2.4,3.0,0.8,,1.7,2.1,6.6
,,,,,,,,,,,,,,,,,
2 seasons,,FTW,BAA,,86.0,,,2.0,6.3,0.323,2.2,2.8,0.79,,1.8,1.8,6.2
1 season,,AND,NBA,,29.0,,,1.8,4.9,0.357,1.7,2.3,0.727,,1.9,1.2,5.2
