Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,24.0,DET,NBA,SF,78.0,,16.3,2.8,5.6,0.505,1.8,2.8,0.651,,,4.1,0.6,,,,2.9,7.5
1972-73,25.0,DET,NBA,SF,79.0,,16.2,3.2,6.4,0.494,1.9,2.8,0.684,,,4.1,0.7,,,,2.3,8.3
1973-74,26.0,DET,NBA,SF,74.0,,15.9,3.3,6.5,0.51,1.3,1.9,0.664,1.3,1.8,3.1,0.8,0.8,0.1,,2.1,8.0
1974-75,27.0,DET,NBA,SF,24.0,,14.5,2.7,5.1,0.52,1.3,1.8,0.738,1.3,2.4,3.7,0.7,1.0,0.0,,2.1,6.6
1975-76,28.0,SEA,NBA,SF,64.0,,15.7,2.3,4.7,0.485,2.4,3.2,0.749,1.4,2.2,3.6,0.9,0.7,0.1,,2.2,6.9
1976-77,29.0,SEA,NBA,SF,76.0,,21.7,2.8,6.1,0.469,2.0,2.7,0.733,1.7,2.2,3.8,1.3,0.8,0.1,,2.5,7.7
1977-78,30.0,TOT,NBA,SF,35.0,,17.5,2.1,5.2,0.409,1.4,2.1,0.667,1.4,2.0,3.4,0.9,0.9,0.1,1.6,2.9,5.7
1977-78,30.0,DET,NBA,SF,16.0,,16.3,2.1,5.1,0.415,1.3,1.8,0.69,1.7,1.7,3.4,0.9,0.8,0.2,1.1,2.8,5.5
1977-78,30.0,POR,NBA,SF,19.0,,18.5,2.1,5.2,0.404,1.6,2.4,0.652,1.2,2.3,3.4,1.0,0.9,0.0,2.1,2.9,5.8
Career,,,NBA,,430.0,,17.1,2.8,5.8,0.488,1.8,2.6,0.697,1.4,2.1,3.7,0.8,0.8,0.1,1.6,2.4,7.5
,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DET,NBA,,271.0,,16.0,3.0,6.0,0.5,1.6,2.4,0.673,1.3,1.9,3.7,0.7,0.8,0.1,1.1,2.4,7.6
2 seasons,,SEA,NBA,,140.0,,18.9,2.6,5.4,0.475,2.2,2.9,0.741,1.6,2.2,3.7,1.1,0.7,0.1,,2.4,7.3
1 season,,POR,NBA,,19.0,,18.5,2.1,5.2,0.404,1.6,2.4,0.652,1.2,2.3,3.4,1.0,0.9,0.0,2.1,2.9,5.8
