Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,23.0,TOT,BAA,,61.0,,,3.1,10.8,0.293,1.6,3.4,0.467,,0.5,2.4,7.9
1946-47,23.0,TRH,BAA,,13.0,,,3.5,10.5,0.338,1.8,4.7,0.393,,0.8,1.7,8.9
1946-47,23.0,CLR,BAA,,48.0,,,3.0,10.8,0.281,1.5,3.1,0.497,,0.4,2.6,7.6
1947-48,24.0,PRO,BAA,,45.0,,,4.4,14.7,0.297,2.9,5.3,0.54,,0.7,3.3,11.6
1948-49,25.0,TOT,BAA,,60.0,,,3.5,10.9,0.326,2.8,4.7,0.581,,1.6,2.7,9.8
1948-49,25.0,PRO,BAA,,33.0,,,3.7,11.6,0.315,2.5,4.5,0.55,,1.7,2.7,9.8
1948-49,25.0,BOS,BAA,,27.0,,,3.4,9.9,0.341,3.1,5.0,0.615,,1.4,2.7,9.8
1949-50,26.0,TOT,NBA,,55.0,,,1.4,4.6,0.306,1.0,1.8,0.566,,0.5,2.1,3.9
1949-50,26.0,BOS,NBA,,18.0,,,2.0,6.7,0.3,2.0,3.3,0.61,,0.9,2.6,6.0
1949-50,26.0,TRI,NBA,,1.0,,,5.0,10.0,0.5,2.0,5.0,0.4,,1.0,1.0,12.0
1949-50,26.0,CHS,NBA,,36.0,,,1.0,3.5,0.296,0.5,1.0,0.514,,0.3,2.0,2.6
Career,,,TOT,,221.0,,,3.1,10.1,0.305,2.0,3.8,0.538,,0.8,2.6,8.2
,,,BAA,,166.0,,,3.6,11.8,0.305,2.4,4.4,0.535,,0.9,2.8,9.6
,,,NBA,,55.0,,,1.4,4.6,0.306,1.0,1.8,0.566,,0.5,2.1,3.9
,,,,,,,,,,,,,,,,,
2 seasons,,PRO,BAA,,78.0,,,4.1,13.4,0.304,2.7,5.0,0.544,,1.1,3.1,10.8
1 season,,CLR,BAA,,48.0,,,3.0,10.8,0.281,1.5,3.1,0.497,,0.4,2.6,7.6
2 seasons,,BOS,BAA,,45.0,,,2.8,8.6,0.328,2.6,4.3,0.613,,1.2,2.7,8.3
1 season,,CHS,NBA,,36.0,,,1.0,3.5,0.296,0.5,1.0,0.514,,0.3,2.0,2.6
1 season,,TRH,BAA,,13.0,,,3.5,10.5,0.338,1.8,4.7,0.393,,0.8,1.7,8.9
1 season,,TRI,NBA,,1.0,,,5.0,10.0,0.5,2.0,5.0,0.4,,1.0,1.0,12.0
