Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,20.0,BOS,BAA,,21.0,,,4.1,15.0,0.276,1.4,2.7,0.536,,3.1,1.9,9.7
1949-50,21.0,TOT,NBA,,61.0,,,1.8,7.0,0.261,0.8,1.5,0.528,,1.5,1.5,4.4
1949-50,21.0,BOS,NBA,,37.0,,,1.9,7.4,0.262,0.9,1.6,0.569,,1.7,1.7,4.8
1949-50,21.0,STB,NBA,,24.0,,,1.6,6.3,0.26,0.6,1.3,0.452,,1.1,1.2,3.8
Career,,,TOT,,82.0,,,2.4,9.0,0.268,0.9,1.8,0.531,,1.9,1.6,5.8
,,,NBA,,61.0,,,1.8,7.0,0.261,0.8,1.5,0.528,,1.5,1.5,4.4
,,,BAA,,21.0,,,4.1,15.0,0.276,1.4,2.7,0.536,,3.1,1.9,9.7
,,,,,,,,,,,,,,,,,
2 seasons,,BOS,BAA,,58.0,,,2.7,10.2,0.269,1.1,2.0,0.553,,2.2,1.8,6.6
1 season,,STB,NBA,,24.0,,,1.6,6.3,0.26,0.6,1.3,0.452,,1.1,1.2,3.8
