Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,27.0,WSC,BAA,,55.0,,,1.0,4.2,0.238,0.7,1.0,0.717,,0.4,1.1,2.7
1947-48,28.0,STB,BAA,,44.0,,,1.5,5.8,0.261,0.8,1.2,0.667,,0.2,1.4,3.9
1948-49,29.0,TOT,BAA,,47.0,,,1.8,6.2,0.29,1.0,1.5,0.69,,1.4,1.2,4.7
1948-49,29.0,STB,BAA,,30.0,,,1.7,5.9,0.295,1.1,1.5,0.739,,1.4,1.2,4.6
1948-49,29.0,PRO,BAA,,17.0,,,1.9,6.9,0.282,0.9,1.5,0.6,,1.5,1.2,4.8
Career,,,BAA,,146.0,,,1.4,5.3,0.265,0.8,1.2,0.691,,0.7,1.2,3.7
,,,,,,,,,,,,,,,,,
2 seasons,,STB,BAA,,74.0,,,1.6,5.9,0.275,0.9,1.4,0.7,,0.7,1.3,4.2
1 season,,WSC,BAA,,55.0,,,1.0,4.2,0.238,0.7,1.0,0.717,,0.4,1.1,2.7
1 season,,PRO,BAA,,17.0,,,1.9,6.9,0.282,0.9,1.5,0.6,,1.5,1.2,4.8
