Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1954-55,22.0,BOS,NBA,SG,53.0,,9.5,1.9,4.8,0.399,0.8,1.1,0.75,2.8,0.6,1.1,4.7
1955-56,23.0,BOS,NBA,SF,63.0,,11.2,2.3,5.9,0.389,1.3,2.0,0.685,2.9,0.7,1.4,6.0
1956-57,24.0,TOT,NBA,SF,63.0,,16.1,3.3,9.1,0.368,2.2,2.8,0.777,4.2,0.8,1.9,8.8
1956-57,24.0,BOS,NBA,SF,21.0,,11.1,2.0,5.6,0.347,1.1,1.5,0.719,3.6,0.4,1.1,5.0
1956-57,24.0,SYR,NBA,SF,42.0,,18.6,4.0,10.8,0.373,2.7,3.4,0.79,4.5,1.0,2.2,10.7
1957-58,25.0,SYR,NBA,SF,67.0,,14.9,3.4,8.6,0.394,1.8,2.6,0.719,3.6,0.6,1.9,8.6
1958-59,26.0,SYR,NBA,SF,71.0,,14.8,3.4,8.6,0.392,1.6,2.2,0.728,3.7,0.9,2.5,8.4
1959-60,27.0,SYR,NBA,SF,7.0,,10.0,1.9,5.9,0.317,0.6,1.1,0.5,2.0,0.4,1.0,4.3
Career,,,NBA,,324.0,,13.4,2.9,7.5,0.386,1.6,2.1,0.73,3.4,0.7,1.8,7.4
,,,,,,,,,,,,,,,,,
4 seasons,,SYR,NBA,,187.0,,15.5,3.5,9.0,0.386,1.9,2.6,0.74,3.8,0.8,2.1,8.9
3 seasons,,BOS,NBA,,137.0,,10.5,2.1,5.4,0.386,1.1,1.6,0.708,2.9,0.6,1.2,5.3
