Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,22.0,Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia)
1987-88,23.0,Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia),Did Not Play (other pro league—Yugoslavia)
1988-89,24.0,Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain),Did Not Play (other pro league—Spain)
1989-90,25.0,POR,NBA,SG,77,0,12.6,2.7,5.5,.485,0.4,1.0,.459,2.2,4.6,.490,.525,1.8,2.1,.844,0.6,0.8,1.4,1.5,0.3,0.0,1.2,1.7,7.6
1990-91,26.0,TOT,NBA,SG,61,0,16.6,4.0,8.1,.493,0.4,1.1,.354,3.6,7.0,.514,.516,1.9,2.2,.832,0.8,1.0,1.8,1.4,0.7,0.0,1.3,2.2,10.2
1990-91,26.0,POR,NBA,SG,18,0,7.4,1.8,3.9,.451,0.1,0.3,.167,1.7,3.6,.477,.458,0.8,1.2,.682,0.6,0.4,1.0,1.1,0.3,0.0,0.7,1.2,4.4
1990-91,26.0,NJN,NBA,SG,43,0,20.5,4.9,9.8,.500,0.5,1.4,.373,4.4,8.4,.521,.526,2.3,2.7,.861,1.0,1.2,2.1,1.5,0.9,0.0,1.6,2.6,12.6
1991-92,27.0,NJN,NBA,SG,82,82,36.9,8.1,16.0,.508,1.5,3.4,.444,6.6,12.7,.525,.555,2.8,3.5,.808,1.2,2.0,3.1,3.1,1.3,0.1,2.6,3.0,20.6
1992-93,28.0,NJN,NBA,SG,70,67,38.0,8.4,16.2,.518,1.1,2.4,.449,7.3,13.8,.529,.551,4.5,5.2,.870,0.6,2.1,2.7,3.5,1.3,0.2,2.9,3.4,22.3
Career,,,NBA,,290,149,26.4,5.9,11.6,.506,0.9,2.0,.437,5.0,9.6,.520,.544,2.7,3.3,.841,0.8,1.5,2.3,2.4,0.9,0.1,2.1,2.6,15.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NJN,NBA,,195,149,33.7,7.5,14.7,.511,1.1,2.6,.437,6.4,12.1,.526,.549,3.3,3.9,.846,0.9,1.8,2.8,2.9,1.2,0.1,2.5,3.1,19.5
2 seasons,,POR,NBA,,95,0,11.6,2.5,5.2,.480,0.4,0.8,.438,2.1,4.4,.488,.515,1.6,1.9,.824,0.6,0.7,1.4,1.4,0.3,0.0,1.1,1.6,7.0
