Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,26.0,TOT,ABA,PF,56.0,,23.1,4.0,9.8,0.412,0.0,0.0,,4.0,9.8,0.412,0.412,3.6,5.3,0.677,,,8.0,1.1,2.8,3.4,11.6
1967-68,26.0,OAK,ABA,PF,43.0,,26.1,4.6,11.0,0.422,0.0,0.0,,4.6,11.0,0.422,0.422,3.9,5.7,0.679,,,8.8,1.2,3.3,3.8,13.1
1967-68,26.0,PTP,ABA,PF,13.0,,13.2,2.0,5.7,0.351,0.0,0.0,,2.0,5.7,0.351,0.351,2.5,3.7,0.667,,,5.3,0.7,1.2,2.2,6.5
1968-69,27.0,TOT,ABA,PF,13.0,,11.4,2.2,4.0,0.538,0.0,0.0,,2.2,4.0,0.538,0.538,1.3,2.4,0.548,2.1,2.2,4.2,0.5,0.8,1.8,5.6
1968-69,27.0,MNP,ABA,PF,11.0,,12.5,2.3,4.1,0.556,0.0,0.0,,2.3,4.1,0.556,0.556,1.2,2.5,0.481,2.2,2.2,4.4,0.5,0.9,2.1,5.7
1968-69,27.0,HSM,ABA,PF,2.0,,5.5,1.5,3.5,0.429,0.0,0.0,,1.5,3.5,0.429,0.429,2.0,2.0,1.0,1.5,2.0,3.5,0.0,0.5,0.0,5.0
Career,,,ABA,,69.0,,20.9,3.7,8.7,0.423,0.0,0.0,,3.7,8.7,0.423,0.423,3.1,4.7,0.665,2.1,2.2,7.3,0.9,2.4,3.1,10.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,OAK,ABA,,43.0,,26.1,4.6,11.0,0.422,0.0,0.0,,4.6,11.0,0.422,0.422,3.9,5.7,0.679,,,8.8,1.2,3.3,3.8,13.1
2 seasons,,"PTP,MNP",ABA,,24.0,,12.8,2.1,5.0,0.429,0.0,0.0,,2.1,5.0,0.429,0.429,1.9,3.1,0.6,2.2,2.2,4.9,0.6,1.0,2.1,6.1
1 season,,HSM,ABA,,2.0,,5.5,1.5,3.5,0.429,0.0,0.0,,1.5,3.5,0.429,0.429,2.0,2.0,1.0,1.5,2.0,3.5,0.0,0.5,0.0,5.0
