Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23.0,LAL,NBA,PG,59.0,,14.0,2.7,6.1,0.44,1.0,1.2,0.822,,,1.9,1.6,,,,2.0,6.4
1973-74,24.0,LAL,NBA,PG,82.0,,32.0,6.6,14.6,0.449,2.3,2.9,0.799,1.5,3.1,4.6,4.5,1.9,0.4,,2.8,15.4
1974-75,25.0,TOT,NBA,PG,50.0,,37.4,6.3,14.3,0.442,3.4,3.9,0.871,1.2,2.7,4.0,5.7,2.2,0.5,,3.6,16.1
1974-75,25.0,LAL,NBA,PG,9.0,,37.7,8.3,18.6,0.449,4.6,5.0,0.911,1.9,2.9,4.8,7.0,2.3,0.3,,4.0,21.2
1974-75,25.0,MIL,NBA,PG,41.0,,37.3,5.9,13.4,0.44,3.1,3.6,0.859,1.1,2.7,3.8,5.4,2.2,0.5,,3.6,14.9
1975-76,26.0,MIL,NBA,PG,80.0,,31.6,5.0,12.0,0.415,1.8,2.1,0.849,0.9,2.3,3.3,4.9,1.9,0.4,,3.3,11.7
1976-77,27.0,TOT,NBA,PG,81.0,,22.6,3.1,7.0,0.446,1.0,1.3,0.806,0.6,2.2,2.9,3.2,1.6,0.2,,3.0,7.3
1976-77,27.0,MIL,NBA,PG,6.0,,18.5,3.5,6.8,0.512,1.2,1.5,0.778,0.7,1.5,2.2,2.5,1.2,0.2,,2.3,8.2
1976-77,27.0,BUF,NBA,PG,20.0,,16.7,2.2,5.2,0.423,0.9,1.0,0.85,0.3,1.5,1.7,1.9,1.3,0.3,,2.6,5.3
1976-77,27.0,DEN,NBA,PG,55.0,,25.2,3.4,7.7,0.445,1.1,1.3,0.797,0.7,2.6,3.3,3.8,1.7,0.3,,3.3,7.9
1977-78,28.0,TOT,NBA,PG,83.0,,23.2,3.5,7.9,0.448,1.6,2.0,0.799,0.7,2.4,3.1,3.1,1.4,0.1,2.1,2.4,8.7
1977-78,28.0,DEN,NBA,PG,49.0,,22.2,2.9,6.0,0.481,1.0,1.3,0.773,0.6,2.6,3.2,3.2,1.4,0.1,2.1,2.4,6.8
1977-78,28.0,DET,NBA,PG,34.0,,24.7,4.5,10.7,0.421,2.5,3.0,0.816,0.8,2.2,3.0,3.0,1.3,0.1,2.2,2.4,11.5
1978-79,29.0,LAL,NBA,PG,75.0,,16.1,2.3,4.6,0.497,0.7,1.1,0.696,0.3,1.3,1.6,2.9,0.9,0.2,1.3,1.7,5.3
Career,,,NBA,,510.0,,25.1,4.2,9.4,0.444,1.6,2.0,0.815,0.9,2.4,3.1,3.7,1.6,0.3,1.7,2.7,10.0
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,LAL,NBA,,225.0,,22.2,4.2,9.2,0.456,1.5,1.9,0.796,1.0,2.3,2.9,3.3,1.5,0.3,1.3,2.3,9.9
3 seasons,,MIL,NBA,,127.0,,32.8,5.2,12.2,0.427,2.2,2.6,0.852,1.0,2.4,3.4,5.0,1.9,0.4,,3.3,12.6
2 seasons,,DEN,NBA,,104.0,,23.8,3.2,6.9,0.46,1.1,1.3,0.786,0.7,2.6,3.3,3.5,1.6,0.2,2.1,2.9,7.4
1 season,,DET,NBA,,34.0,,24.7,4.5,10.7,0.421,2.5,3.0,0.816,0.8,2.2,3.0,3.0,1.3,0.1,2.2,2.4,11.5
1 season,,BUF,NBA,,20.0,,16.7,2.2,5.2,0.423,0.9,1.0,0.85,0.3,1.5,1.7,1.9,1.3,0.3,,2.6,5.3
