Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,23.0,MIN,NBA,PG,82,48,31.5,5.2,11.3,.461,0.3,1.0,.277,4.9,10.3,.479,.473,0.8,1.3,.589,0.7,2.0,2.6,6.8,1.6,0.3,1.7,1.7,11.4
1990-91,24.0,MIN,NBA,PG,82,82,38.5,7.7,16.5,.470,0.5,1.6,.328,7.2,14.9,.485,.486,1.1,2.0,.539,1.0,2.5,3.5,9.0,1.6,0.2,2.1,1.4,17.1
1991-92,25.0,MIN,NBA,PG,82,82,35.6,7.2,15.4,.466,0.6,1.9,.342,6.5,13.5,.483,.487,1.5,2.2,.691,1.1,2.6,3.7,8.4,1.5,0.3,2.5,1.9,16.5
1992-93,26.0,IND,NBA,PG,74,73,32.4,4.6,9.5,.479,0.0,0.4,.103,4.5,9.1,.496,.482,1.2,1.7,.742,0.9,2.8,3.6,7.7,1.3,0.2,2.3,1.8,10.4
1993-94,27.0,IND,NBA,PG,37,25,27.6,4.3,9.6,.452,0.1,0.3,.250,4.2,9.2,.459,.456,1.3,2.1,.610,0.8,2.2,3.0,6.4,0.9,0.1,2.4,2.1,10.0
1994-95,28.0,LAC,NBA,PG,80,77,35.8,4.4,11.2,.394,1.1,3.1,.357,3.3,8.2,.407,.442,1.0,1.6,.648,0.5,2.8,3.3,7.9,1.6,0.2,2.1,2.7,10.9
1995-96,29.0,LAC,NBA,PG,63,61,32.0,4.5,10.5,.423,1.5,3.9,.384,3.0,6.7,.446,.494,1.2,1.7,.743,0.6,2.0,2.5,5.4,1.2,0.2,1.5,2.1,11.7
1996-97,30.0,LAC,NBA,PG,59,18,18.1,2.2,5.8,.381,0.7,2.2,.328,1.5,3.7,.412,.442,0.4,0.7,.605,0.4,1.2,1.7,2.9,0.9,0.1,1.1,1.4,5.6
1997-98,31.0,LAC,NBA,PG,69,17,18.1,1.8,4.8,.372,0.2,0.8,.193,1.6,4.0,.409,.389,0.4,0.6,.698,0.2,1.1,1.4,3.3,0.6,0.0,0.8,1.0,4.2
1998-99,32.0,LAC,NBA,PG,11,0,11.8,1.1,3.3,.333,0.0,0.5,.000,1.1,2.7,.400,.333,0.4,0.4,1.000,0.1,1.1,1.2,2.7,0.4,0.0,0.8,0.5,2.5
1999-00,33.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
Career,,,NBA,,639,483,30.4,4.8,10.7,.444,0.6,1.7,.329,4.2,9.0,.465,.470,1.0,1.5,.652,0.7,2.1,2.8,6.5,1.3,0.2,1.8,1.8,11.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,LAC,NBA,,282,173,26.0,3.2,8.1,.396,0.8,2.4,.344,2.4,5.7,.418,.448,0.8,1.1,.684,0.4,1.8,2.2,5.0,1.1,0.1,1.4,1.8,8.0
3 seasons,,MIN,NBA,,246,212,35.2,6.7,14.4,.466,0.5,1.5,.322,6.2,12.9,.483,.483,1.1,1.8,.611,0.9,2.3,3.3,8.0,1.6,0.3,2.1,1.7,15.0
2 seasons,,IND,NBA,,111,98,30.8,4.5,9.5,.470,0.1,0.4,.146,4.4,9.2,.483,.473,1.3,1.8,.692,0.8,2.6,3.4,7.3,1.1,0.1,2.3,1.9,10.3
