Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,22.0,SDR,NBA,SG,80.0,,15.8,3.1,8.3,0.379,1.6,2.5,0.634,,,2.2,1.7,,,2.6,7.9
1968-69,23.0,SDR,NBA,SG,56.0,,18.3,3.6,8.9,0.406,1.6,2.4,0.672,,,2.0,2.4,,,2.6,8.8
1969-70,24.0,SDR,NBA,SF,36.0,,13.2,2.1,5.0,0.417,1.1,1.5,0.727,,,1.6,2.4,,,1.9,5.3
1970-71,25.0,LAL,NBA,SG,54.0,,9.4,1.9,4.7,0.413,1.0,1.6,0.644,,,1.0,1.3,,,1.6,4.9
1971-72,26.0,LAL,NBA,SG,67.0,,13.8,2.9,6.6,0.447,0.8,1.1,0.743,,,1.9,1.1,,,1.6,6.7
1972-73,27.0,LAL,NBA,SG,55.0,,14.6,3.0,7.1,0.428,1.2,1.5,0.793,,,1.2,1.5,,,2.3,7.3
1973-74,28.0,LAL,NBA,SG,72.0,,18.9,4.0,9.3,0.43,1.5,2.0,0.764,0.5,1.3,1.8,2.1,0.8,0.0,2.4,9.5
1974-75,29.0,LAL,NBA,SF,46.0,,22.1,4.8,11.4,0.419,1.5,2.0,0.742,0.5,1.3,1.8,2.6,0.8,0.1,2.8,11.0
1975-76,30.0,TOT,NBA,SG,62.0,,13.1,1.9,4.9,0.389,0.9,1.2,0.714,0.3,0.5,0.8,0.9,0.4,0.1,1.8,4.7
1975-76,30.0,LAL,NBA,SG,2.0,,11.5,2.5,6.5,0.385,0.5,1.5,0.333,0.5,1.0,1.5,0.0,0.5,0.5,2.5,5.5
1975-76,30.0,PHO,NBA,SG,60.0,,13.2,1.9,4.8,0.389,0.9,1.2,0.73,0.3,0.5,0.8,1.0,0.4,0.1,1.8,4.6
Career,,,NBA,,528.0,,15.5,3.1,7.4,0.414,1.3,1.8,0.705,0.4,1.0,1.6,1.7,0.6,0.1,2.2,7.4
,,,,,,,,,,,,,,,,,,,,,
6 seasons,,LAL,NBA,,296.0,,15.7,3.3,7.7,0.428,1.2,1.6,0.737,0.5,1.3,1.6,1.7,0.8,0.1,2.1,7.8
3 seasons,,SDR,NBA,,172.0,,16.1,3.1,7.8,0.394,1.5,2.3,0.66,,,2.0,2.1,,,2.4,7.6
1 season,,PHO,NBA,,60.0,,13.2,1.9,4.8,0.389,0.9,1.2,0.73,0.3,0.5,0.8,1.0,0.4,0.1,1.8,4.6
