Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23.0,NOB,ABA,C,73,,29.6,6.1,12.6,.488,0.0,0.1,.333,6.1,12.5,.489,.489,3.4,4.2,.795,5.0,7.2,12.2,1.0,,,1.6,2.2,15.7
1968-69,24.0,NOB,ABA,C,76,,36.0,6.0,13.6,.441,0.1,0.4,.241,5.9,13.2,.446,.444,3.8,4.8,.806,4.8,8.6,13.5,1.9,,,1.6,2.6,15.9
1969-70,25.0,NOB,ABA,PF,82,,39.8,6.4,13.3,.481,0.1,0.3,.304,6.3,13.0,.485,.484,3.5,4.5,.779,5.2,11.0,16.2,2.2,,,1.8,3.1,16.4
1970-71,26.0,UTS,ABA,PF,82,,36.5,4.8,11.1,.436,0.1,0.5,.250,4.7,10.5,.446,.442,2.8,3.3,.835,3.7,8.2,11.9,2.2,,,1.5,2.5,12.6
1971-72,27.0,UTS,ABA,PF,78,,32.9,4.9,9.6,.504,0.4,0.9,.408,4.5,8.7,.514,.523,2.1,2.6,.831,2.8,6.3,9.1,1.6,,,1.1,2.2,12.2
1972-73,28.0,SDA,ABA,C,58,,27.9,3.8,9.1,.415,0.2,0.5,.300,3.6,8.5,.422,.424,2.3,2.7,.845,2.7,4.4,7.2,1.7,,,1.5,2.3,9.9
1973-74,29.0,TOT,ABA,C,80,,20.3,3.5,7.2,.478,0.0,0.2,.077,3.4,7.1,.488,.479,1.5,1.7,.853,1.8,3.0,4.8,1.1,0.5,0.4,1.1,1.4,8.4
1973-74,29.0,SDA,ABA,C,46,,22.0,3.9,8.2,.476,0.0,0.2,.125,3.9,8.0,.484,.477,1.6,1.9,.862,2.0,3.4,5.3,1.3,0.7,0.6,1.3,1.6,9.4
1973-74,29.0,KEN,ABA,C,34,,18.1,2.9,5.9,.483,0.0,0.1,.000,2.9,5.8,.495,.483,1.2,1.4,.837,1.6,2.6,4.1,0.9,0.2,0.2,0.9,1.1,6.9
1974-75,30.0,TOT,ABA,C,57,,31.2,5.4,11.4,.474,0.1,0.2,.300,5.3,11.2,.476,.476,2.8,3.3,.866,2.7,4.6,7.3,2.0,0.5,0.5,1.7,1.9,13.7
1974-75,30.0,KEN,ABA,C,4,,7.3,3.0,5.3,.571,0.0,0.0,,3.0,5.3,.571,.571,1.5,1.5,1.000,2.0,0.8,2.8,0.3,0.5,0.3,0.5,1.0,7.5
1974-75,30.0,VIR,ABA,C,53,,33.0,5.6,11.8,.470,0.1,0.2,.300,5.5,11.6,.473,.473,2.9,3.4,.862,2.7,4.9,7.6,2.1,0.5,0.6,1.8,1.9,14.1
1975-76,31.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
Career,,,ABA,,586,,32.0,5.1,11.0,.466,0.1,0.4,.305,5.0,10.6,.471,.471,2.8,3.4,.818,3.6,6.9,10.5,1.7,0.5,0.5,1.5,2.3,13.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOB,ABA,,231,,35.3,6.2,13.2,.469,0.1,0.3,.276,6.1,12.9,.473,.472,3.6,4.5,.793,5.0,9.0,14.1,1.7,,,1.7,2.6,16.0
2 seasons,,UTS,ABA,,160,,34.8,4.8,10.4,.467,0.3,0.7,.348,4.6,9.7,.476,.479,2.5,3.0,.833,3.2,7.3,10.5,1.9,,,1.3,2.3,12.4
2 seasons,,SDA,ABA,,104,,25.3,3.8,8.7,.441,0.1,0.4,.263,3.7,8.3,.448,.446,2.0,2.3,.851,2.4,4.0,6.4,1.5,0.7,0.6,1.4,2.0,9.7
1 season,,VIR,ABA,,53,,33.0,5.6,11.8,.470,0.1,0.2,.300,5.5,11.6,.473,.473,2.9,3.4,.862,2.7,4.9,7.6,2.1,0.5,0.6,1.8,1.9,14.1
2 seasons,,KEN,ABA,,38,,16.9,2.9,5.8,.491,0.0,0.1,.000,2.9,5.7,.502,.491,1.2,1.4,.855,1.6,2.4,4.0,0.8,0.3,0.2,0.8,1.1,7.0
