Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22.0,DNR,ABA,SF,68.0,,15.4,3.2,7.8,0.407,0.0,0.1,0.25,3.2,7.8,0.408,0.408,1.3,1.8,0.717,1.8,2.5,4.3,0.9,,,1.1,2.2,7.7
1972-73,23.0,DNR,ABA,SF,77.0,,25.4,4.9,10.5,0.463,0.0,0.0,0.333,4.8,10.4,0.464,0.464,2.6,3.3,0.788,2.3,2.8,5.2,1.2,,,1.4,2.5,12.3
1973-74,24.0,TOT,ABA,PF,74.0,,21.6,3.6,8.1,0.445,0.0,0.0,1.0,3.6,8.1,0.444,0.446,1.7,2.2,0.787,2.2,2.8,5.0,1.6,0.6,0.1,1.4,2.1,8.9
1973-74,24.0,DNR,ABA,PF,35.0,,18.4,3.0,6.8,0.447,0.0,0.0,1.0,3.0,6.7,0.445,0.449,1.4,1.8,0.774,1.7,2.1,3.7,1.3,0.4,0.1,1.4,2.1,7.5
1973-74,24.0,CAR,ABA,PF,39.0,,24.5,4.1,9.3,0.443,0.0,0.0,,4.1,9.3,0.443,0.443,2.1,2.6,0.794,2.6,3.5,6.2,1.9,0.9,0.1,1.3,2.1,10.3
1974-75,25.0,KEN,ABA,SF,83.0,,16.5,2.4,5.6,0.43,0.0,0.0,0.0,2.4,5.6,0.431,0.43,1.5,2.0,0.774,1.1,1.9,3.0,1.2,0.3,0.0,1.2,2.4,6.4
1975-76,26.0,TOT,ABA,SF,72.0,,21.7,3.6,8.6,0.417,0.0,0.0,,3.6,8.6,0.417,0.417,1.5,1.9,0.781,1.4,1.8,3.3,1.7,0.5,0.1,1.4,2.1,8.7
1975-76,26.0,KEN,ABA,SF,40.0,,25.1,4.3,9.6,0.442,0.0,0.0,,4.3,9.6,0.442,0.442,2.2,2.8,0.779,1.9,2.1,4.0,2.0,0.5,0.2,1.7,2.4,10.7
1975-76,26.0,VIR,ABA,SF,32.0,,17.4,2.8,7.4,0.377,0.0,0.0,,2.8,7.4,0.377,0.377,0.6,0.8,0.792,0.9,1.5,2.4,1.3,0.5,0.1,1.0,1.7,6.2
1976-77,27.0,LAL,NBA,SF,28.0,,7.5,1.0,2.7,0.355,,,,1.0,2.7,0.355,0.355,0.1,0.2,0.667,0.3,0.6,0.9,0.7,0.1,0.1,,1.2,2.1
Career,,,TOT,,402.0,,19.3,3.3,7.7,0.433,0.0,0.0,0.333,3.3,7.7,0.434,0.434,1.6,2.1,0.773,1.7,2.2,3.9,1.3,0.4,0.1,1.3,2.2,8.3
,,,ABA,,374.0,,20.1,3.5,8.1,0.435,0.0,0.0,0.333,3.5,8.1,0.436,0.436,1.7,2.2,0.774,1.8,2.4,4.1,1.3,0.5,0.1,1.3,2.3,8.8
,,,NBA,,28.0,,7.5,1.0,2.7,0.355,,,,1.0,2.7,0.355,0.355,0.1,0.2,0.667,0.3,0.6,0.9,0.7,0.1,0.1,,1.2,2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DNR,ABA,,180.0,,20.3,3.9,8.8,0.442,0.0,0.0,0.375,3.9,8.7,0.442,0.443,1.9,2.4,0.767,2.0,2.6,4.6,1.1,0.4,0.1,1.3,2.3,9.6
2 seasons,,KEN,ABA,,123.0,,19.3,3.0,6.9,0.435,0.0,0.0,0.0,3.0,6.9,0.436,0.435,1.7,2.3,0.776,1.3,2.0,3.3,1.5,0.4,0.1,1.4,2.4,7.8
1 season,,CAR,ABA,,39.0,,24.5,4.1,9.3,0.443,0.0,0.0,,4.1,9.3,0.443,0.443,2.1,2.6,0.794,2.6,3.5,6.2,1.9,0.9,0.1,1.3,2.1,10.3
1 season,,VIR,ABA,,32.0,,17.4,2.8,7.4,0.377,0.0,0.0,,2.8,7.4,0.377,0.377,0.6,0.8,0.792,0.9,1.5,2.4,1.3,0.5,0.1,1.0,1.7,6.2
1 season,,LAL,NBA,,28.0,,7.5,1.0,2.7,0.355,,,,1.0,2.7,0.355,0.355,0.1,0.2,0.667,0.3,0.6,0.9,0.7,0.1,0.1,,1.2,2.1
