Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1958-59,25.0,TOT,NBA,PG,44.0,,15.7,1.9,5.3,0.359,1.4,2.0,0.7,2.7,2.3,1.1,5.2
1958-59,25.0,PHW,NBA,,23.0,,10.9,1.3,3.8,0.333,1.2,2.0,0.622,1.3,1.9,0.8,3.7
1958-59,25.0,CIN,NBA,PG,21.0,,21.0,2.6,6.9,0.375,1.7,2.1,0.778,4.1,2.8,1.4,6.8
1959-60,26.0,CIN,NBA,PG,72.0,,17.2,2.2,5.4,0.409,1.1,1.8,0.606,2.5,3.2,2.1,5.5
1960-61,27.0,TOT,NBA,SG,61.0,,13.4,1.8,4.8,0.372,1.0,1.4,0.659,1.6,2.0,2.0,4.5
1960-61,27.0,STL,NBA,,7.0,,10.1,1.3,2.9,0.45,0.0,0.6,0.0,0.4,1.6,2.0,2.6
1960-61,27.0,CIN,NBA,SG,14.0,,6.1,0.7,2.3,0.313,0.4,0.5,0.714,0.6,0.8,0.9,1.8
1960-61,27.0,NYK,NBA,SG,40.0,,16.5,2.3,6.0,0.373,1.3,1.9,0.688,2.1,2.5,2.4,5.8
Career,,,NBA,,177.0,,15.5,2.0,5.1,0.385,1.1,1.7,0.649,2.2,2.6,1.8,5.1
,,,,,,,,,,,,,,,,,
3 seasons,,CIN,NBA,,107.0,,16.5,2.1,5.3,0.395,1.1,1.7,0.654,2.6,2.8,1.8,5.2
1 season,,NYK,NBA,,40.0,,16.5,2.3,6.0,0.373,1.3,1.9,0.688,2.1,2.5,2.4,5.8
1 season,,PHW,NBA,,23.0,,10.9,1.3,3.8,0.333,1.2,2.0,0.622,1.3,1.9,0.8,3.7
1 season,,STL,NBA,,7.0,,10.1,1.3,2.9,0.45,0.0,0.6,0.0,0.4,1.6,2.0,2.6
