Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,25.0,CLR,BAA,,29.0,,,1.2,5.8,0.216,1.0,1.9,0.556,,0.5,2.1,3.5
1947-48,26.0,TOT,BAA,,49.0,,,2.1,7.4,0.283,1.8,3.1,0.58,,0.1,2.3,6.0
1947-48,26.0,WSC,BAA,,11.0,,,1.4,5.5,0.25,1.5,1.9,0.762,,0.1,2.0,4.2
1947-48,26.0,BLB,BAA,,14.0,,,1.8,6.1,0.291,0.8,1.6,0.478,,0.1,1.7,4.4
1947-48,26.0,STB,BAA,,24.0,,,2.6,9.1,0.289,2.5,4.4,0.566,,0.2,2.9,7.8
1948-49,27.0,NYK,BAA,,53.0,,,1.9,6.9,0.275,2.1,3.3,0.644,,1.3,3.3,5.9
Career,,,BAA,,131.0,,,1.8,6.9,0.267,1.7,2.9,0.606,,0.7,2.7,5.4
,,,,,,,,,,,,,,,,,
1 season,,NYK,BAA,,53.0,,,1.9,6.9,0.275,2.1,3.3,0.644,,1.3,3.3,5.9
1 season,,CLR,BAA,,29.0,,,1.2,5.8,0.216,1.0,1.9,0.556,,0.5,2.1,3.5
1 season,,STB,BAA,,24.0,,,2.6,9.1,0.289,2.5,4.4,0.566,,0.2,2.9,7.8
1 season,,BLB,BAA,,14.0,,,1.8,6.1,0.291,0.8,1.6,0.478,,0.1,1.7,4.4
1 season,,WSC,BAA,,11.0,,,1.4,5.5,0.25,1.5,1.9,0.762,,0.1,2.0,4.2
