Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,23.0,PHW,BAA,,50.0,,,1.0,3.5,0.299,0.5,0.9,0.489,,0.4,1.2,2.5
1947-48,24.0,BLB,BAA,,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,0.5,0.0
1948-49,25.0,PHW,BAA,,39.0,,,1.4,4.7,0.29,0.8,1.2,0.689,,1.2,1.8,3.5
1949-50,26.0,PHW,NBA,,4.0,,,0.8,2.3,0.333,0.3,0.3,1.0,,0.5,0.5,1.8
Career,,,TOT,,95.0,,,1.1,3.9,0.292,0.6,1.0,0.591,,0.7,1.4,2.9
,,,BAA,,91.0,,,1.2,4.0,0.291,0.6,1.0,0.587,,0.7,1.5,2.9
,,,NBA,,4.0,,,0.8,2.3,0.333,0.3,0.3,1.0,,0.5,0.5,1.8
,,,,,,,,,,,,,,,,,
3 seasons,,PHW,BAA,,93.0,,,1.2,3.9,0.295,0.6,1.0,0.591,,0.8,1.4,2.9
1 season,,BLB,BAA,,2.0,,,0.0,2.0,0.0,0.0,0.0,,,0.0,0.5,0.0
