Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20.0,OKC,NBA,PF,81.0,66.0,20.1,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
2017-18,21.0,IND,NBA,C,74.0,19.0,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3.0,0.75,2.2,5.5,7.7,2.0,0.5,0.4,1.9,3.0,11.6
2018-19,22.0,IND,NBA,C,74.0,5.0,24.8,5.6,9.5,0.59,0.1,0.2,0.529,5.5,9.2,0.592,0.596,2.8,3.9,0.715,2.5,6.8,9.3,2.9,0.6,0.4,2.2,3.2,14.1
2019-20,23.0,IND,NBA,PF,62.0,62.0,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5
2020-21,24.0,IND,NBA,PF,62.0,62.0,36.0,7.8,14.6,0.535,0.8,2.6,0.321,7.0,12.0,0.582,0.564,3.9,5.3,0.732,2.4,9.5,12.0,6.7,1.2,0.5,3.4,3.3,20.3
2021-22,25.0,TOT,NBA,PF,62.0,61.0,34.5,7.1,12.5,0.573,0.6,2.0,0.312,6.5,10.5,0.623,0.598,4.0,5.4,0.741,3.2,8.9,12.1,5.2,1.0,0.4,3.1,3.3,18.9
2021-22,25.0,IND,NBA,PF,47.0,46.0,34.7,7.0,12.1,0.58,0.7,2.3,0.324,6.3,9.9,0.639,0.61,4.1,5.5,0.74,3.3,8.8,12.1,5.0,1.0,0.5,3.0,3.1,18.9
2021-22,25.0,SAC,NBA,PF,15.0,15.0,33.6,7.5,13.5,0.554,0.3,1.1,0.235,7.2,12.3,0.584,0.564,3.7,4.9,0.743,3.1,9.3,12.3,5.8,0.9,0.3,3.5,3.8,18.9
2022-23,26.0,SAC,NBA,C,72.0,72.0,34.9,7.3,11.9,0.608,0.4,1.1,0.354,6.9,10.8,0.633,0.624,4.2,5.5,0.762,3.2,9.3,12.5,7.3,0.8,0.5,2.9,3.6,19.1
Career,,,NBA,,487.0,347.0,29.4,5.9,10.7,0.546,0.4,1.3,0.324,5.4,9.4,0.577,0.566,2.9,4.0,0.735,2.4,7.3,9.7,4.1,0.8,0.5,2.4,3.1,15.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,IND,NBA,,319.0,194.0,30.3,6.4,11.5,0.55,0.4,1.2,0.322,6.0,10.3,0.577,0.567,3.2,4.4,0.731,2.6,7.8,10.5,4.2,0.8,0.5,2.6,3.1,16.3
2 seasons,,SAC,NBA,,87.0,87.0,34.7,7.3,12.2,0.598,0.4,1.1,0.333,6.9,11.1,0.624,0.613,4.1,5.4,0.759,3.2,9.3,12.5,7.0,0.8,0.5,3.0,3.6,19.1
1 season,,OKC,NBA,,81.0,66.0,20.1,2.4,5.9,0.399,0.6,2.0,0.321,1.7,4.0,0.438,0.452,0.5,0.8,0.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
