Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,31.0,TOT,BAA,,53.0,,,6.2,16.8,0.369,4.1,6.2,0.668,,0.9,3.7,16.5
1946-47,31.0,TRH,BAA,,10.0,,,7.3,20.9,0.349,4.5,6.6,0.682,,0.8,4.2,19.1
1946-47,31.0,CLR,BAA,,43.0,,,6.0,15.9,0.375,4.0,6.1,0.664,,0.9,3.5,16.0
1947-48,32.0,BOS,BAA,,47.0,,,6.6,20.3,0.323,6.3,9.0,0.697,,1.6,3.9,19.4
1948-49,33.0,PHW,BAA,,60.0,,,5.7,14.0,0.405,4.0,5.8,0.686,,2.7,4.6,15.3
1949-50,34.0,TOT,NBA,,69.0,,,4.3,13.4,0.324,4.0,5.4,0.735,,2.0,3.5,12.6
1949-50,34.0,PHW,NBA,,17.0,,,2.8,9.0,0.307,3.1,4.4,0.693,,2.3,3.7,8.6
1949-50,34.0,BLB,NBA,,52.0,,,4.8,14.8,0.328,4.3,5.7,0.745,,1.9,3.5,14.0
Career,,,TOT,,229.0,,,5.6,15.7,0.354,4.5,6.4,0.697,,1.8,3.9,15.6
,,,BAA,,160.0,,,6.1,16.8,0.364,4.7,6.9,0.685,,1.8,4.1,16.9
,,,NBA,,69.0,,,4.3,13.4,0.324,4.0,5.4,0.735,,2.0,3.5,12.6
,,,,,,,,,,,,,,,,,
2 seasons,,PHW,BAA,,77.0,,,5.0,12.9,0.39,3.8,5.5,0.687,,2.6,4.4,13.8
1 season,,BLB,NBA,,52.0,,,4.8,14.8,0.328,4.3,5.7,0.745,,1.9,3.5,14.0
1 season,,BOS,BAA,,47.0,,,6.6,20.3,0.323,6.3,9.0,0.697,,1.6,3.9,19.4
1 season,,CLR,BAA,,43.0,,,6.0,15.9,0.375,4.0,6.1,0.664,,0.9,3.5,16.0
1 season,,TRH,BAA,,10.0,,,7.3,20.9,0.349,4.5,6.6,0.682,,0.8,4.2,19.1
