Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,24.0,FTW,NBA,,68.0,,,5.2,14.6,0.352,4.0,4.9,0.818,,2.6,3.4,14.3
1950-51,25.0,FTW,NBA,,68.0,,,4.6,13.5,0.34,5.9,7.1,0.835,7.3,2.7,3.5,15.1
1951-52,26.0,FTW,NBA,SF,62.0,,41.6,4.5,12.5,0.361,5.0,6.0,0.833,7.0,4.0,3.6,14.1
1952-53,27.0,FTW,NBA,SF,69.0,,36.8,3.5,10.4,0.334,3.5,4.3,0.821,6.0,3.6,3.8,10.5
1953-54,28.0,TOT,NBA,,67.0,,22.6,2.4,6.2,0.388,2.3,2.9,0.785,4.0,1.6,2.6,7.1
1953-54,28.0,FTW,NBA,,23.0,,11.8,1.1,2.7,0.397,1.7,2.2,0.76,2.2,0.9,1.5,3.8
1953-54,28.0,NYK,NBA,SF,44.0,,28.3,3.1,8.0,0.386,2.6,3.3,0.793,4.9,2.0,3.2,8.8
Career,,,NBA,,334.0,,33.5,4.0,11.5,0.352,4.1,5.0,0.823,6.0,2.9,3.4,12.2
,,,,,,,,,,,,,,,,,
5 seasons,,FTW,NBA,,290.0,,35.0,4.2,12.0,0.348,4.4,5.3,0.826,6.3,3.0,3.4,12.7
1 season,,NYK,NBA,,44.0,,28.3,3.1,8.0,0.386,2.6,3.3,0.793,4.9,2.0,3.2,8.8
