Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,30.0,TOT,BAA,,57.0,,,2.3,9.6,0.237,1.6,2.4,0.681,,1.0,2.2,6.2
1946-47,30.0,CLR,BAA,,16.0,,,2.7,11.0,0.244,1.3,1.9,0.645,,1.1,1.8,6.6
1946-47,30.0,TRH,BAA,,41.0,,,2.1,9.1,0.234,1.8,2.6,0.692,,1.0,2.3,6.0
1947-48,31.0,BLB,BAA,,48.0,,,2.8,9.8,0.284,2.4,3.3,0.731,,0.6,2.4,8.0
1948-49,32.0,WSC,BAA,,50.0,,,1.3,5.6,0.234,1.3,1.8,0.714,,1.1,2.1,3.9
1949-50,33.0,TOT,NBA,,50.0,,,1.3,4.2,0.297,1.7,2.2,0.755,,1.3,2.1,4.2
1949-50,33.0,WSC,NBA,,13.0,,,0.9,3.5,0.267,1.5,2.2,0.679,,0.8,2.1,3.3
1949-50,33.0,TRI,NBA,,8.0,,,1.6,5.6,0.289,1.9,2.6,0.714,,1.0,1.5,5.1
1949-50,33.0,SHE,NBA,,29.0,,,1.3,4.2,0.311,1.7,2.1,0.803,,1.7,2.3,4.3
Career,,,TOT,,205.0,,,1.9,7.4,0.259,1.8,2.4,0.719,,1.0,2.2,5.6
,,,BAA,,155.0,,,2.1,8.4,0.253,1.8,2.5,0.71,,0.9,2.2,6.0
,,,NBA,,50.0,,,1.3,4.2,0.297,1.7,2.2,0.755,,1.3,2.1,4.2
,,,,,,,,,,,,,,,,,
2 seasons,,WSC,BAA,,63.0,,,1.2,5.1,0.238,1.3,1.9,0.706,,1.0,2.1,3.8
1 season,,BLB,BAA,,48.0,,,2.8,9.8,0.284,2.4,3.3,0.731,,0.6,2.4,8.0
1 season,,TRH,BAA,,41.0,,,2.1,9.1,0.234,1.8,2.6,0.692,,1.0,2.3,6.0
1 season,,SHE,NBA,,29.0,,,1.3,4.2,0.311,1.7,2.1,0.803,,1.7,2.3,4.3
1 season,,CLR,BAA,,16.0,,,2.7,11.0,0.244,1.3,1.9,0.645,,1.1,1.8,6.6
1 season,,TRI,NBA,,8.0,,,1.6,5.6,0.289,1.9,2.6,0.714,,1.0,1.5,5.1
