Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,20.0,UTS,ABA,SF,78.0,,17.4,2.9,7.8,0.379,0.2,1.2,0.211,2.7,6.6,0.408,0.394,0.9,1.4,0.63,1.3,2.3,3.6,0.7,0.7,0.7,1.0,2.6,7.0
1974-75,21.0,UTS,ABA,SF,35.0,,10.6,1.7,4.1,0.423,0.0,0.1,0.0,1.7,4.0,0.432,0.423,0.6,0.7,0.769,1.2,1.5,2.8,0.4,0.4,0.5,0.7,1.9,4.0
1975-76,22.0,SEA,NBA,SF,81.0,,30.1,4.8,11.0,0.436,,,,4.8,11.0,0.436,0.436,2.2,3.3,0.678,1.9,4.3,6.3,1.5,0.8,0.5,,3.9,11.8
1976-77,23.0,SEA,NBA,PF,81.0,,24.4,4.7,10.5,0.444,,,,4.7,10.5,0.444,0.444,1.7,2.4,0.708,1.5,2.9,4.4,1.1,0.6,0.7,,3.2,11.0
1977-78,24.0,SEA,NBA,SF,73.0,,18.1,3.2,7.5,0.417,,,,3.2,7.5,0.417,0.417,1.5,2.4,0.634,0.8,2.2,3.1,1.1,0.6,0.5,1.4,2.9,7.8
Career,,,TOT,,348.0,,21.4,3.7,8.7,0.423,0.2,0.8,0.204,3.6,8.5,0.43,0.426,1.5,2.2,0.672,1.4,2.8,4.2,1.0,0.6,0.6,1.1,3.0,8.9
,,,NBA,,235.0,,24.4,4.2,9.7,0.435,,,,4.2,9.7,0.435,0.435,1.8,2.7,0.675,1.4,3.2,4.6,1.2,0.7,0.6,1.4,3.3,10.3
,,,ABA,,113.0,,15.3,2.6,6.6,0.387,0.2,0.8,0.204,2.4,5.8,0.413,0.4,0.8,1.2,0.657,1.3,2.1,3.3,0.6,0.6,0.6,0.9,2.4,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SEA,NBA,,235.0,,24.4,4.2,9.7,0.435,,,,4.2,9.7,0.435,0.435,1.8,2.7,0.675,1.4,3.2,4.6,1.2,0.7,0.6,1.4,3.3,10.3
2 seasons,,UTS,ABA,,113.0,,15.3,2.6,6.6,0.387,0.2,0.8,0.204,2.4,5.8,0.413,0.4,0.8,1.2,0.657,1.3,2.1,3.3,0.6,0.6,0.6,0.9,2.4,6.1
