Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22.0,BUF,NBA,C,78,,40.8,7.4,16.3,.454,2.5,4.7,.534,,,15.2,1.4,,,,3.9,17.3
1972-73,23.0,BUF,NBA,C,76,,37.2,7.9,16.4,.482,2.5,4.4,.558,,,12.4,2.5,,,,3.9,18.3
1973-74,24.0,LAL,NBA,C,81,,36.1,5.4,11.7,.457,1.8,3.1,.590,2.5,8.7,11.2,1.9,0.9,4.9,,3.8,12.5
1974-75,25.0,LAL,NBA,C,74,,31.6,4.7,9.5,.493,1.5,3.1,.485,2.8,8.1,10.9,2.0,1.1,2.9,,3.4,10.9
1975-76,26.0,MIL,NBA,C,78,,36.0,6.4,12.3,.518,2.8,4.5,.632,2.6,8.9,11.4,1.2,1.0,3.1,,3.4,15.6
1976-77,27.0,TOT,NBA,C,70,,20.9,3.4,7.2,.475,1.7,3.0,.549,1.6,4.6,6.3,0.6,0.5,2.1,,3.0,8.6
1976-77,27.0,MIL,NBA,C,34,,23.2,3.3,7.4,.447,1.8,3.1,.581,1.5,4.6,6.1,0.9,0.6,2.0,,3.2,8.4
1976-77,27.0,CLE,NBA,C,36,,18.8,3.6,7.1,.504,1.6,3.0,.519,1.7,4.7,6.4,0.4,0.4,2.1,,2.7,8.7
1977-78,28.0,CLE,NBA,C,81,,24.6,5.0,10.0,.497,2.5,3.8,.663,2.2,6.2,8.4,0.7,0.6,2.2,1.7,3.0,12.5
1978-79,29.0,CLE,NBA,C,24,,13.8,2.9,5.4,.531,0.8,1.1,.692,1.9,2.5,4.4,0.5,0.3,0.7,1.8,2.5,6.5
1979-80,30.0,Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee)
Career,,,NBA,,562,,31.8,5.6,11.7,.482,2.1,3.7,.579,2.3,7.1,10.6,1.4,0.8,2.9,1.7,3.5,13.4
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAL,NBA,,155,,34.0,5.0,10.7,.472,1.7,3.1,.540,2.7,8.4,11.1,1.9,1.0,3.9,,3.6,11.7
2 seasons,,BUF,NBA,,154,,39.1,7.7,16.4,.468,2.5,4.5,.546,,,13.8,2.0,,,,3.9,17.8
3 seasons,,CLE,NBA,,141,,21.3,4.2,8.5,.502,2.0,3.1,.630,2.0,5.2,7.2,0.6,0.5,1.9,1.7,2.8,10.5
2 seasons,,MIL,NBA,,112,,32.1,5.5,10.8,.503,2.5,4.1,.621,2.3,7.6,9.8,1.1,0.9,2.7,,3.4,13.4
