Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,22.0,BOS,BAA,,43.0,,,1.4,5.7,0.239,0.6,0.9,0.632,,0.4,1.5,3.3
1948-49,23.0,BOS,BAA,,56.0,,,3.4,10.4,0.333,1.6,2.3,0.713,,1.0,1.8,8.5
1949-50,24.0,TOT,NBA,,49.0,,,1.3,4.3,0.296,0.8,1.1,0.685,,0.9,1.2,3.3
1949-50,24.0,MNL,NBA,,23.0,,,1.2,4.1,0.284,0.3,0.6,0.5,,1.0,1.4,2.7
1949-50,24.0,WAT,NBA,,26.0,,,1.4,4.5,0.305,1.2,1.5,0.75,,0.8,1.0,3.9
Career,,,TOT,,148.0,,,2.1,7.0,0.303,1.0,1.5,0.692,,0.8,1.5,5.3
,,,BAA,,99.0,,,2.5,8.4,0.305,1.2,1.7,0.695,,0.7,1.7,6.3
,,,NBA,,49.0,,,1.3,4.3,0.296,0.8,1.1,0.685,,0.9,1.2,3.3
,,,,,,,,,,,,,,,,,
2 seasons,,BOS,BAA,,99.0,,,2.5,8.4,0.305,1.2,1.7,0.695,,0.7,1.7,6.3
1 season,,WAT,NBA,,26.0,,,1.4,4.5,0.305,1.2,1.5,0.75,,0.8,1.0,3.9
1 season,,MNL,NBA,,23.0,,,1.2,4.1,0.284,0.3,0.6,0.5,,1.0,1.4,2.7
