Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,22.0,IND,NBA,PG,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2018-19,23.0,IND,NBA,PG,23,2,9.1,1.0,2.8,.344,0.3,1.2,.259,0.7,1.6,.405,.398,0.7,1.0,.625,0.4,0.7,1.0,0.4,0.5,0.2,0.4,1.1,2.9
2019-20,24.0,IND,NBA,SG,31,3,14.4,2.0,4.6,.430,0.5,1.7,.264,1.5,2.9,.528,.479,0.5,0.9,.552,0.4,1.1,1.5,1.8,0.5,0.3,0.7,1.4,4.9
2020-21,25.0,IND,NBA,SG,53,24,16.2,2.8,5.3,.525,0.7,1.7,.398,2.1,3.7,.582,.587,1.3,1.6,.819,0.3,1.4,1.8,0.9,0.6,0.2,1.0,1.7,7.5
2021-22,26.0,Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles),Did Not Play (injury—Achilles)
2022-23,27.0,BRK,NBA,SG,49,12,14.4,2.4,5.3,.460,0.6,1.8,.360,1.8,3.6,.509,.519,1.9,2.1,.931,0.2,1.3,1.5,1.4,0.6,0.2,0.9,1.7,7.5
Career,,,NBA,,157,41,14.2,2.2,4.8,.469,0.6,1.6,.343,1.7,3.2,.534,.527,1.2,1.5,.815,0.3,1.2,1.5,1.2,0.6,0.2,0.8,1.5,6.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,108,29,14.1,2.1,4.5,.474,0.5,1.6,.333,1.6,3.0,.548,.532,0.9,1.3,.728,0.4,1.2,1.5,1.1,0.6,0.2,0.8,1.5,5.7
1 season,,BRK,NBA,,49,12,14.4,2.4,5.3,.460,0.6,1.8,.360,1.8,3.6,.509,.519,1.9,2.1,.931,0.2,1.3,1.5,1.4,0.6,0.2,0.9,1.7,7.5
