Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23.0,NOB,ABA,SG,66.0,,16.5,3.3,8.3,0.394,0.6,1.9,0.304,2.7,6.4,0.42,0.429,2.1,2.5,0.827,0.3,1.2,1.5,1.2,,,1.5,3.2,9.2
1970-71,24.0,TOT,ABA,SG,80.0,,26.7,5.0,11.2,0.449,0.5,1.9,0.26,4.5,9.3,0.487,0.471,2.6,3.1,0.837,0.8,2.2,2.9,3.4,,,2.5,3.3,13.1
1970-71,24.0,MMP,ABA,SG,28.0,,18.1,4.6,11.2,0.409,0.5,2.3,0.2,4.1,8.9,0.464,0.43,2.5,3.1,0.795,0.6,1.4,2.0,1.6,,,2.1,2.8,12.1
1970-71,24.0,PTC,ABA,SG,52.0,,31.3,5.3,11.2,0.471,0.5,1.6,0.306,4.8,9.6,0.499,0.493,2.6,3.0,0.861,0.8,2.6,3.4,4.3,,,2.7,3.6,13.7
1971-72,25.0,PTC,ABA,SG,79.0,,29.6,5.1,10.8,0.468,0.4,1.3,0.33,4.7,9.6,0.487,0.488,2.8,3.4,0.845,0.6,1.9,2.5,3.9,,,3.2,3.5,13.4
1972-73,26.0,DLC,ABA,SG,42.0,,26.7,4.2,8.9,0.473,0.5,1.2,0.388,3.8,7.7,0.486,0.499,3.0,3.5,0.859,0.5,1.5,2.0,3.6,,,3.2,3.3,11.9
1973-74,27.0,SAA,ABA,SG,16.0,,9.6,1.4,4.2,0.343,0.1,0.8,0.083,1.4,3.4,0.4,0.351,1.0,1.3,0.8,0.3,0.7,1.0,0.9,0.2,0.0,0.8,1.6,3.9
Career,,,ABA,,283.0,,24.2,4.3,9.7,0.445,0.5,1.5,0.298,3.8,8.1,0.473,0.469,2.5,3.0,0.841,0.5,1.7,2.2,2.9,0.2,0.0,2.5,3.2,11.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PTC,ABA,,131.0,,30.3,5.2,11.0,0.469,0.5,1.4,0.319,4.7,9.6,0.492,0.49,2.7,3.2,0.851,0.7,2.2,2.9,4.1,,,3.0,3.5,13.5
2 seasons,,"NOB,MMP",ABA,,94.0,,17.0,3.6,9.1,0.399,0.5,2.0,0.268,3.1,7.1,0.436,0.429,2.2,2.7,0.816,0.4,1.2,1.7,1.3,,,1.7,3.1,10.1
2 seasons,,"DLC,SAA",ABA,,58.0,,22.0,3.4,7.6,0.454,0.3,1.1,0.328,3.1,6.6,0.474,0.476,2.5,2.9,0.852,0.4,1.3,1.7,2.8,0.2,0.0,2.6,2.9,9.7
