Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22.0,TOT,ABA,C,75.0,,12.1,2.1,4.4,0.477,0.0,0.0,,2.1,4.4,0.477,0.477,0.8,1.4,0.559,1.6,2.3,3.9,0.9,,1.7,2.9,4.9
1969-70,22.0,NYA,ABA,C,72.0,,12.1,2.1,4.4,0.481,0.0,0.0,,2.1,4.4,0.481,0.481,0.8,1.3,0.557,1.7,2.3,4.0,0.9,,1.7,2.9,5.0
1969-70,22.0,WSA,ABA,C,3.0,,12.3,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,1.0,1.7,0.6,0.3,2.0,2.3,0.0,,1.3,3.7,3.0
1970-71,23.0,VIR,ABA,C,1.0,,25.0,1.0,9.0,0.111,0.0,0.0,,1.0,9.0,0.111,0.111,0.0,1.0,0.0,0.0,0.0,0.0,4.0,,0.0,6.0,2.0
1971-72,24.0,PTC,ABA,C,1.0,,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,5.0,0.0
Career,,,ABA,,77.0,,12.2,2.0,4.4,0.466,0.0,0.0,,2.0,4.4,0.466,0.466,0.7,1.3,0.553,1.6,2.2,3.8,0.9,,1.6,3.0,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,NYA,ABA,,72.0,,12.1,2.1,4.4,0.481,0.0,0.0,,2.1,4.4,0.481,0.481,0.8,1.3,0.557,1.7,2.3,4.0,0.9,,1.7,2.9,5.0
2 seasons,,"WSA,VIR",ABA,,4.0,,15.5,1.0,4.5,0.222,0.0,0.0,,1.0,4.5,0.222,0.222,0.8,1.5,0.5,0.3,1.5,1.8,1.0,,1.0,4.3,2.8
1 season,,PTC,ABA,,1.0,,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,5.0,0.0
