Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1963-64,22.0,BAL,NBA,SG,75.0,,34.6,5.5,13.5,0.405,3.4,4.7,0.731,4.8,3.7,2.5,14.4
1964-65,23.0,DET,NBA,SG,74.0,,23.9,4.3,10.1,0.427,2.4,3.3,0.724,3.6,2.2,1.6,11.0
1965-66,24.0,TOT,NBA,SG,73.0,,23.8,4.2,10.0,0.42,2.3,3.2,0.712,2.9,2.0,2.0,10.7
1965-66,24.0,DET,NBA,SG,27.0,,30.2,5.3,12.7,0.417,3.3,4.6,0.732,3.7,2.4,2.5,13.9
1965-66,24.0,STL,NBA,SG,46.0,,20.1,3.5,8.4,0.423,1.7,2.5,0.69,2.4,1.8,1.7,8.8
1966-67,25.0,STL,NBA,PG,67.0,,17.4,3.5,7.8,0.445,1.9,2.6,0.727,2.4,1.8,1.3,8.8
1967-68,26.0,SEA,NBA,SG,66.0,,25.3,5.7,12.7,0.451,3.8,5.2,0.737,4.0,3.5,1.8,15.2
1968-69,27.0,SEA,NBA,SG,29.0,,19.6,4.5,9.8,0.463,2.4,3.3,0.732,2.9,2.8,2.0,11.5
1969-70,28.0,SEA,NBA,SG,19.0,,5.5,1.1,2.4,0.444,0.8,1.3,0.625,0.8,0.9,0.4,2.9
1970-71,29.0,SEA,NBA,SG,63.0,,12.2,2.2,4.7,0.472,1.1,1.6,0.676,1.6,2.9,1.0,5.6
Career,,,NBA,,466.0,,22.3,4.2,9.6,0.433,2.4,3.4,0.723,3.1,2.6,1.7,10.8
,,,,,,,,,,,,,,,,,
4 seasons,,SEA,NBA,,177.0,,17.6,3.8,8.3,0.458,2.3,3.2,0.72,2.6,2.9,1.4,9.9
2 seasons,,STL,NBA,,113.0,,18.5,3.5,8.0,0.436,1.8,2.5,0.712,2.4,1.8,1.5,8.8
2 seasons,,DET,NBA,,101.0,,25.6,4.6,10.8,0.424,2.6,3.6,0.727,3.6,2.2,1.9,11.8
1 season,,BAL,NBA,,75.0,,34.6,5.5,13.5,0.405,3.4,4.7,0.731,4.8,3.7,2.5,14.4
