Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1967-68,23.0,SFW,NBA,SF,42.0,,11.5,1.6,3.7,0.433,0.9,1.4,0.6,3.7,0.4,1.8,4.1
1968-69,24.0,SFW,NBA,SF,79.0,,18.8,2.8,6.8,0.415,2.2,2.9,0.761,4.8,0.8,2.9,7.8
1969-70,25.0,TOT,NBA,"PF,SF",72.0,,16.3,2.7,6.5,0.421,1.7,2.3,0.737,4.2,0.6,2.7,7.2
1969-70,25.0,SFW,NBA,SF,3.0,,25.0,3.0,5.7,0.529,1.7,3.3,0.5,4.7,0.3,2.0,7.7
1969-70,25.0,CIN,NBA,PF,69.0,,15.9,2.7,6.5,0.417,1.7,2.3,0.752,4.2,0.6,2.7,7.2
1970-71,26.0,SFW,NBA,SF,18.0,,11.1,1.4,4.6,0.317,0.7,1.1,0.65,2.3,0.4,1.3,3.6
1971-72,27.0,GSW,NBA,PF,62.0,,9.6,1.1,2.9,0.392,0.6,0.9,0.755,2.1,0.4,1.1,2.9
1972-73,28.0,TOT,NBA,PF,21.0,,6.0,0.9,2.8,0.328,0.2,0.3,0.571,1.3,0.5,0.8,2.0
1972-73,28.0,POR,NBA,PF,2.0,,4.0,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.5,2.0
1972-73,28.0,LAL,NBA,PF,19.0,,6.2,0.9,2.7,0.327,0.2,0.4,0.571,1.3,0.6,0.7,2.0
Career,,,NBA,,294.0,,13.8,2.1,5.0,0.407,1.3,1.8,0.728,3.5,0.6,2.1,5.4
,,,,,,,,,,,,,,,,,
5 seasons,,"SFW,GSW",NBA,,204.0,,13.9,1.9,4.8,0.407,1.3,1.8,0.721,3.5,0.6,2.0,5.2
1 season,,CIN,NBA,,69.0,,15.9,2.7,6.5,0.417,1.7,2.3,0.752,4.2,0.6,2.7,7.2
1 season,,LAL,NBA,,19.0,,6.2,0.9,2.7,0.327,0.2,0.4,0.571,1.3,0.6,0.7,2.0
1 season,,POR,NBA,,2.0,,4.0,1.0,3.0,0.333,0.0,0.0,,1.0,0.0,1.5,2.0
