Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,24.0,CHS,BAA,,48.0,,,3.4,12.9,0.264,1.6,2.6,0.603,,1.0,4.0,8.4
1948-49,25.0,CHS,BAA,,56.0,,,4.0,11.7,0.338,2.3,3.2,0.724,,3.0,3.9,10.3
1949-50,26.0,TRI,NBA,,35.0,,,3.1,9.3,0.338,2.5,3.4,0.717,,3.5,4.1,8.7
1950-51,27.0,TRI,NBA,,29.0,,,1.6,3.9,0.404,1.6,2.3,0.701,3.2,2.0,3.4,4.8
1951-52,28.0,MLH,NBA,,7.0,,16.9,1.0,3.7,0.269,1.3,2.0,0.643,2.1,1.3,2.6,3.3
Career,,,TOT,,175.0,,16.9,3.1,9.9,0.315,2.0,2.9,0.687,3.0,2.3,3.8,8.3
,,,BAA,,104.0,,,3.7,12.3,0.302,2.0,3.0,0.674,,2.1,3.9,9.4
,,,NBA,,71.0,,16.9,2.3,6.5,0.351,2.0,2.8,0.706,3.0,2.6,3.7,6.6
,,,,,,,,,,,,,,,,,
2 seasons,,CHS,BAA,,104.0,,,3.7,12.3,0.302,2.0,3.0,0.674,,2.1,3.9,9.4
3 seasons,,"TRI,MLH",NBA,,71.0,,16.9,2.3,6.5,0.351,2.0,2.8,0.706,3.0,2.6,3.7,6.6
