Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,19.0,DEN,NBA,PF,17.0,0.0,4.1,0.5,1.1,0.474,0.0,0.1,0.0,0.5,1.1,0.5,0.474,0.4,0.6,0.6,0.4,0.9,1.4,0.2,0.4,0.1,0.5,0.5,1.4
2019-20,20.0,TOT,NBA,PF,11.0,0.0,4.2,0.5,0.7,0.625,0.0,0.1,0.0,0.5,0.6,0.714,0.625,0.2,0.2,1.0,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
2019-20,20.0,DEN,NBA,PF,9.0,0.0,4.6,0.6,0.8,0.714,0.0,0.0,,0.6,0.8,0.714,0.714,0.0,0.0,,0.3,0.6,0.9,0.2,0.3,0.1,0.8,0.7,1.1
2019-20,20.0,MIN,NBA,PF,2.0,0.0,2.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
2020-21,21.0,MIN,NBA,PF,64.0,30.0,17.8,2.2,3.7,0.606,0.0,0.1,0.2,2.2,3.6,0.615,0.608,0.9,1.6,0.559,1.8,3.9,5.8,1.2,1.0,0.7,0.8,1.9,5.4
2021-22,22.0,MIN,NBA,PF,74.0,67.0,25.4,2.9,4.9,0.587,0.0,0.2,0.143,2.8,4.7,0.605,0.59,1.2,1.8,0.656,2.9,5.5,8.4,1.3,1.3,0.6,1.0,2.4,6.9
2022-23,23.0,TOT,NBA,PF,71.0,58.0,24.4,3.2,5.9,0.545,0.3,1.1,0.291,2.9,4.8,0.605,0.573,1.3,1.9,0.692,2.3,5.5,7.7,2.5,1.1,0.3,1.3,2.5,8.0
2022-23,23.0,UTA,NBA,PF,52.0,41.0,24.1,3.3,6.0,0.556,0.4,1.1,0.333,3.0,4.9,0.606,0.587,1.3,2.0,0.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3
2022-23,23.0,LAL,NBA,PF,19.0,17.0,25.2,2.9,5.6,0.514,0.2,1.2,0.182,2.7,4.5,0.6,0.533,1.3,1.6,0.806,2.1,5.3,7.4,1.8,1.3,0.3,1.3,2.4,7.3
Career,,,NBA,,237.0,155.0,20.5,2.5,4.4,0.573,0.1,0.4,0.26,2.4,4.0,0.606,0.585,1.0,1.6,0.643,2.1,4.5,6.6,1.5,1.1,0.5,1.0,2.1,6.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,140.0,97.0,21.6,2.5,4.3,0.594,0.0,0.1,0.15,2.5,4.1,0.609,0.596,1.0,1.7,0.617,2.4,4.7,7.1,1.2,1.2,0.7,0.9,2.2,6.1
1 season,,UTA,NBA,,52.0,41.0,24.1,3.3,6.0,0.556,0.4,1.1,0.333,3.0,4.9,0.606,0.587,1.3,2.0,0.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3
2 seasons,,DEN,NBA,,26.0,0.0,4.2,0.5,1.0,0.538,0.0,0.0,0.0,0.5,1.0,0.56,0.538,0.2,0.4,0.6,0.4,0.8,1.2,0.2,0.3,0.1,0.6,0.5,1.3
1 season,,LAL,NBA,,19.0,17.0,25.2,2.9,5.6,0.514,0.2,1.2,0.182,2.7,4.5,0.6,0.533,1.3,1.6,0.806,2.1,5.3,7.4,1.8,1.3,0.3,1.3,2.4,7.3
