Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,27.0,PRO,BAA,PF,59.0,,,3.4,9.4,0.363,1.5,2.6,0.561,,1.2,1.7,8.3
1949-50,28.0,BOS,NBA,PF,68.0,,,3.2,8.6,0.374,1.1,1.7,0.632,,1.6,1.5,7.5
1950-51,29.0,TOT,NBA,PF,66.0,,,2.5,6.3,0.394,1.1,1.6,0.699,5.4,1.7,1.2,6.1
1950-51,29.0,BOS,NBA,PF,17.0,,,0.8,1.9,0.394,0.3,0.5,0.556,1.8,0.5,0.6,1.8
1950-51,29.0,BLB,NBA,PF,49.0,,,3.1,7.8,0.394,1.4,1.9,0.713,6.6,2.1,1.4,7.5
1951-52,30.0,BLB,NBA,PF,35.0,,20.0,2.5,6.2,0.41,0.7,1.0,0.765,5.6,1.1,1.1,5.8
Career,,,TOT,,228.0,,20.0,3.0,7.8,0.38,1.1,1.8,0.633,5.4,1.4,1.4,7.0
,,,NBA,,169.0,,20.0,2.8,7.2,0.387,1.0,1.5,0.677,5.4,1.5,1.3,6.6
,,,BAA,,59.0,,,3.4,9.4,0.363,1.5,2.6,0.561,,1.2,1.7,8.3
,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,85.0,,,2.7,7.2,0.375,0.9,1.4,0.626,1.8,1.4,1.3,6.3
2 seasons,,BLB,NBA,,84.0,,20.0,2.9,7.1,0.4,1.1,1.5,0.727,6.2,1.7,1.3,6.8
1 season,,PRO,BAA,,59.0,,,3.4,9.4,0.363,1.5,2.6,0.561,,1.2,1.7,8.3
