Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1962-63,26.0,SYR,NBA,PF,26.0,,7.9,1.9,4.3,0.45,,,,1.9,4.3,0.45,0.45,1.0,1.3,0.714,,,3.3,0.2,,1.6,4.8
1963-64,27.0,PHI,NBA,PF,79.0,,22.0,2.7,6.3,0.435,,,,2.7,6.3,0.435,0.435,2.8,3.9,0.721,,,7.8,0.9,,3.5,8.2
1964-65,28.0,PHI,NBA,SF,64.0,,14.1,1.5,4.0,0.372,,,,1.5,4.0,0.372,0.372,1.9,2.8,0.705,,,4.3,0.8,,2.7,4.9
1965-66,29.0,TOT,NBA,SF,57.0,,13.6,2.0,5.0,0.408,,,,2.0,5.0,0.408,0.408,1.1,1.7,0.66,,,3.8,0.4,,2.3,5.2
1965-66,29.0,PHI,NBA,SF,1.0,,6.0,1.0,3.0,0.333,,,,1.0,3.0,0.333,0.333,0.0,0.0,,,,2.0,0.0,,1.0,2.0
1965-66,29.0,BAL,NBA,SF,56.0,,13.7,2.1,5.0,0.409,,,,2.1,5.0,0.409,0.409,1.1,1.7,0.66,,,3.8,0.4,,2.3,5.3
1966-67,30.0,BAL,NBA,SF,62.0,,16.7,2.0,5.0,0.401,,,,2.0,5.0,0.401,0.401,2.2,2.7,0.788,,,5.2,0.8,,2.8,6.2
1967-68,31.0,ANA,ABA,SF,71.0,,32.4,6.1,13.9,0.442,0.7,2.3,0.313,5.4,11.5,0.468,0.468,4.4,5.5,0.805,,,8.6,1.4,2.3,3.9,17.4
1968-69,32.0,LAS,ABA,SF,35.0,,25.0,4.9,12.1,0.407,0.9,3.5,0.256,4.0,8.6,0.467,0.443,3.3,4.4,0.748,1.5,4.1,5.5,0.7,1.5,3.6,14.0
1969-70,33.0,DNR,ABA,SF,42.0,,11.3,1.4,4.0,0.353,0.4,1.4,0.259,1.1,2.7,0.402,0.397,1.4,1.8,0.763,0.6,2.0,2.6,0.7,0.9,2.3,4.6
Career,,,TOT,,436.0,,19.0,2.9,7.0,0.418,0.7,2.3,0.284,2.7,6.2,0.435,0.434,2.4,3.2,0.751,1.0,2.9,5.6,0.8,1.7,3.0,8.5
,,,NBA,,288.0,,16.2,2.1,5.0,0.413,,,,2.1,5.0,0.413,0.413,2.0,2.7,0.724,,,5.3,0.7,,2.7,6.1
,,,ABA,,148.0,,24.6,4.5,10.7,0.423,0.7,2.3,0.284,3.8,8.3,0.461,0.454,3.3,4.2,0.785,1.0,2.9,6.2,1.0,1.7,3.4,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,"SYR,PHI",NBA,,170.0,,16.8,2.1,5.1,0.418,,,,2.1,5.1,0.418,0.418,2.2,3.0,0.715,,,5.8,0.8,,2.9,6.4
2 seasons,,BAL,NBA,,118.0,,15.3,2.0,5.0,0.405,,,,2.0,5.0,0.405,0.405,1.7,2.3,0.742,,,4.6,0.6,,2.6,5.7
2 seasons,,"ANA,LAS",ABA,,106.0,,29.9,5.7,13.3,0.431,0.8,2.7,0.289,4.9,10.6,0.467,0.461,4.0,5.1,0.789,1.5,4.1,7.6,1.2,2.0,3.8,16.3
1 season,,DNR,ABA,,42.0,,11.3,1.4,4.0,0.353,0.4,1.4,0.259,1.1,2.7,0.402,0.397,1.4,1.8,0.763,0.6,2.0,2.6,0.7,0.9,2.3,4.6
