Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23.0,PTP,ABA,PF,63.0,,29.3,5.0,9.5,0.523,0.0,0.0,1.0,4.9,9.4,0.522,0.525,1.7,3.0,0.57,4.8,5.9,10.7,1.6,,,1.7,3.0,11.6
1968-69,24.0,MNP,ABA,C,69.0,,38.0,6.1,12.2,0.502,0.0,0.1,0.0,6.1,12.1,0.505,0.502,2.8,4.6,0.601,5.3,7.3,12.6,2.6,,,2.8,3.5,15.0
1969-70,25.0,TOT,ABA,PF,81.0,,29.0,4.0,7.2,0.55,0.0,0.1,0.5,3.9,7.1,0.551,0.553,1.9,3.0,0.646,3.9,6.3,10.1,2.4,,,2.2,3.5,9.9
1969-70,25.0,PTP,ABA,PF,44.0,,28.4,3.8,7.0,0.536,0.1,0.1,0.6,3.7,6.9,0.535,0.541,2.0,3.2,0.631,3.5,6.6,10.1,2.6,,,2.4,3.2,9.6
1969-70,25.0,LAS,ABA,PF,37.0,,29.8,4.2,7.4,0.566,0.0,0.1,0.333,4.2,7.3,0.568,0.568,1.8,2.7,0.667,4.3,5.9,10.2,2.2,,,2.0,3.9,10.2
1970-71,26.0,FLO,ABA,PF,57.0,,32.9,3.8,7.5,0.507,0.0,0.0,0.0,3.8,7.4,0.509,0.507,1.8,2.9,0.611,3.4,7.2,10.6,3.3,,,3.6,3.2,9.4
1971-72,27.0,NYA,ABA,PF,80.0,,31.4,4.8,8.5,0.571,0.0,0.0,,4.8,8.5,0.571,0.571,1.3,2.1,0.645,3.5,5.9,9.4,2.0,,,2.4,3.6,11.0
1972-73,28.0,NYA,ABA,PF,76.0,,26.7,3.0,5.6,0.539,0.0,0.0,,3.0,5.6,0.539,0.539,0.8,1.3,0.624,2.3,5.0,7.3,2.7,,,2.4,3.2,6.9
Career,,,ABA,,426.0,,31.1,4.4,8.3,0.532,0.0,0.0,0.333,4.4,8.3,0.533,0.532,1.7,2.8,0.615,3.8,6.2,10.0,2.4,,,2.5,3.4,10.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,"PTP,MNP",ABA,,176.0,,32.5,5.1,9.9,0.515,0.0,0.1,0.385,5.1,9.8,0.516,0.517,2.2,3.7,0.599,4.7,6.6,11.3,2.3,,,2.3,3.2,12.4
2 seasons,,NYA,ABA,,156.0,,29.1,3.9,7.1,0.558,0.0,0.0,,3.9,7.1,0.558,0.558,1.1,1.7,0.637,2.9,5.4,8.4,2.3,,,2.4,3.4,9.0
1 season,,FLO,ABA,,57.0,,32.9,3.8,7.5,0.507,0.0,0.0,0.0,3.8,7.4,0.509,0.507,1.8,2.9,0.611,3.4,7.2,10.6,3.3,,,3.6,3.2,9.4
1 season,,LAS,ABA,,37.0,,29.8,4.2,7.4,0.566,0.0,0.1,0.333,4.2,7.3,0.568,0.568,1.8,2.7,0.667,4.3,5.9,10.2,2.2,,,2.0,3.9,10.2
