Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,23.0,GSW,NBA,PG,32.0,0.0,11.5,1.3,3.2,0.426,0.3,0.8,0.346,1.1,2.3,0.453,0.47,0.7,0.9,0.793,0.4,0.6,1.0,1.1,0.5,0.0,0.6,0.6,3.7
2008-09,24.0,GSW,NBA,PG,77.0,18.0,24.5,3.3,7.3,0.457,0.6,1.6,0.4,2.7,5.7,0.473,0.5,2.2,2.5,0.87,0.5,2.0,2.5,2.7,1.2,0.1,1.2,1.8,9.5
2009-10,25.0,GSW,NBA,PG,65.0,15.0,27.5,3.8,8.1,0.468,0.7,2.2,0.31,3.1,5.9,0.527,0.51,2.0,2.6,0.771,0.4,2.2,2.6,2.8,1.6,0.1,1.1,1.9,10.3
2010-11,26.0,CHI,NBA,PG,82.0,1.0,13.3,1.8,4.8,0.371,0.5,1.4,0.393,1.2,3.4,0.362,0.426,0.8,1.1,0.742,0.2,1.0,1.1,2.3,0.7,0.1,0.9,1.0,4.9
2011-12,27.0,CHI,NBA,PG,49.0,25.0,23.7,3.3,8.9,0.368,1.4,3.5,0.393,1.9,5.4,0.352,0.446,1.7,2.1,0.808,0.4,1.7,2.1,4.1,0.9,0.2,2.0,2.1,9.7
2012-13,28.0,BRK,NBA,PG,80.0,8.0,19.0,2.4,5.7,0.418,1.1,2.7,0.411,1.3,3.1,0.424,0.514,0.9,1.1,0.78,0.5,1.3,1.8,2.0,0.8,0.2,0.9,1.5,6.8
2013-14,29.0,IND,NBA,PG,63.0,5.0,18.9,2.3,5.3,0.437,0.8,2.3,0.366,1.5,3.0,0.492,0.516,1.1,1.4,0.784,0.3,1.3,1.6,1.7,1.0,0.1,1.0,1.0,6.6
2014-15,30.0,IND,NBA,PG,57.0,21.0,24.9,3.2,7.3,0.434,1.2,3.1,0.4,1.9,4.2,0.459,0.518,2.4,2.9,0.826,0.3,2.5,2.9,3.6,1.0,0.2,1.8,1.9,10.0
2015-16,31.0,ORL,NBA,PG,33.0,2.0,19.9,1.4,4.2,0.343,0.4,1.5,0.292,1.0,2.7,0.371,0.394,1.0,1.2,0.872,0.3,1.7,2.0,2.7,0.6,0.2,0.8,1.5,4.3
2016-17,32.0,ORL,NBA,PG,62.0,9.0,16.3,1.5,4.0,0.387,0.5,1.7,0.305,1.0,2.3,0.448,0.452,0.9,1.1,0.864,0.3,1.2,1.4,1.8,0.7,0.0,0.8,1.4,4.5
Career,,,NBA,,600.0,104.0,20.2,2.5,6.0,0.419,0.8,2.1,0.373,1.7,3.9,0.444,0.484,1.4,1.7,0.812,0.4,1.6,1.9,2.5,0.9,0.1,1.1,1.5,7.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,GSW,NBA,,174.0,33.0,23.2,3.1,6.8,0.459,0.6,1.7,0.351,2.6,5.2,0.494,0.502,1.8,2.2,0.822,0.5,1.8,2.3,2.4,1.2,0.1,1.0,1.6,8.7
2 seasons,,CHI,NBA,,131.0,26.0,17.2,2.3,6.3,0.369,0.9,2.2,0.393,1.5,4.2,0.357,0.437,1.2,1.5,0.777,0.3,1.2,1.5,2.9,0.8,0.1,1.3,1.4,6.7
2 seasons,,IND,NBA,,120.0,26.0,21.8,2.7,6.3,0.435,1.0,2.7,0.384,1.7,3.6,0.473,0.517,1.7,2.1,0.812,0.3,1.9,2.2,2.6,1.0,0.1,1.3,1.4,8.2
2 seasons,,ORL,NBA,,95.0,11.0,17.6,1.5,4.1,0.371,0.5,1.6,0.301,1.0,2.4,0.418,0.431,1.0,1.1,0.867,0.3,1.4,1.6,2.1,0.7,0.1,0.8,1.4,4.5
1 season,,BRK,NBA,,80.0,8.0,19.0,2.4,5.7,0.418,1.1,2.7,0.411,1.3,3.1,0.424,0.514,0.9,1.1,0.78,0.5,1.3,1.8,2.0,0.8,0.2,0.9,1.5,6.8
