Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22.0,CIN,NBA,C,64.0,,14.2,2.0,5.2,0.393,0.8,1.9,0.423,,,5.1,0.3,,,2.5,4.9
1967-68,23.0,CIN,NBA,C,66.0,,13.9,2.8,6.1,0.465,1.2,2.3,0.5,,,4.3,0.5,,,2.5,6.8
1968-69,24.0,CIN,NBA,C,82.0,,16.3,3.0,6.5,0.459,1.6,2.5,0.647,,,4.9,0.6,,,2.3,7.6
1969-70,25.0,CHI,NBA,C,72.0,,19.5,3.8,9.0,0.417,2.0,3.0,0.662,,,6.3,0.9,,,2.6,9.5
1970-71,26.0,CLE,NBA,C,82.0,,29.6,6.9,15.1,0.455,4.0,5.8,0.687,,,8.7,1.0,,,3.6,17.7
1971-72,27.0,CLE,NBA,C,82.0,,26.6,5.0,12.3,0.41,2.4,3.5,0.674,,,8.7,0.9,,,3.0,12.4
1972-73,28.0,TOT,NBA,C,57.0,,8.3,1.4,3.5,0.381,0.5,0.8,0.565,,,2.6,0.5,,,1.4,3.2
1972-73,28.0,CLE,NBA,C,12.0,,9.2,1.2,3.9,0.298,0.7,1.0,0.667,,,3.2,0.6,,,1.8,3.0
1972-73,28.0,PHO,NBA,C,45.0,,8.1,1.4,3.4,0.406,0.4,0.8,0.529,,,2.5,0.5,,,1.2,3.2
1973-74,29.0,CAP,NBA,C,39.0,,10.3,1.8,3.9,0.47,0.7,1.1,0.605,1.6,1.9,3.5,0.4,0.2,0.5,1.9,4.3
1974-75,30.0,TOT,NBA,C,45.0,,5.5,0.9,2.1,0.452,0.4,0.6,0.593,0.4,1.0,1.4,0.3,0.2,0.1,1.1,2.2
1974-75,30.0,PHI,NBA,C,4.0,,8.3,1.3,2.3,0.556,0.5,1.0,0.5,1.0,1.0,2.0,0.3,0.0,0.0,2.0,3.0
1974-75,30.0,MIL,NBA,C,41.0,,5.2,0.9,2.0,0.44,0.3,0.6,0.609,0.3,1.0,1.3,0.3,0.2,0.1,1.0,2.1
1975-76,31.0,LAL,NBA,C,1.0,,7.0,1.0,2.0,0.5,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0
Career,,,NBA,,590.0,,17.5,3.4,7.8,0.434,1.7,2.7,0.63,1.0,1.4,5.5,0.7,0.2,0.3,2.5,8.5
,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CIN,NBA,,212.0,,14.9,2.7,6.0,0.444,1.2,2.3,0.544,,,4.8,0.5,,,2.5,6.6
3 seasons,,CLE,NBA,,176.0,,26.8,5.6,13.0,0.432,3.0,4.4,0.682,,,8.3,0.9,,,3.2,14.3
1 season,,CHI,NBA,,72.0,,19.5,3.8,9.0,0.417,2.0,3.0,0.662,,,6.3,0.9,,,2.6,9.5
1 season,,PHO,NBA,,45.0,,8.1,1.4,3.4,0.406,0.4,0.8,0.529,,,2.5,0.5,,,1.2,3.2
1 season,,MIL,NBA,,41.0,,5.2,0.9,2.0,0.44,0.3,0.6,0.609,0.3,1.0,1.3,0.3,0.2,0.1,1.0,2.1
1 season,,CAP,NBA,,39.0,,10.3,1.8,3.9,0.47,0.7,1.1,0.605,1.6,1.9,3.5,0.4,0.2,0.5,1.9,4.3
1 season,,PHI,NBA,,4.0,,8.3,1.3,2.3,0.556,0.5,1.0,0.5,1.0,1.0,2.0,0.3,0.0,0.0,2.0,3.0
1 season,,LAL,NBA,,1.0,,7.0,1.0,2.0,0.5,2.0,4.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0
