Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,22.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1966-67,23.0,Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts),Did Not Play (suspended—alleged gambling contacts)
1967-68,24.0,PTP,ABA,PG,78,,39.0,8.2,20.2,.408,0.7,2.3,.287,7.6,17.9,.424,.424,3.7,5.5,.676,,,4.8,2.2,,,3.5,3.8,20.8
1968-69,25.0,MNP,ABA,PG,66,,34.6,7.3,19.7,.373,1.0,3.2,.311,6.3,16.5,.385,.398,3.1,4.3,.710,1.7,2.1,3.7,2.5,,,3.1,3.4,18.7
1969-70,26.0,PTP,ABA,SG,26,,35.6,7.4,20.7,.359,0.6,2.9,.213,6.8,17.8,.383,.374,4.0,5.2,.770,1.0,2.0,3.0,3.6,,,3.1,3.1,19.5
1970-71,27.0,TOT,ABA,"PG,SG",88,,25.5,5.7,13.8,.412,0.4,1.5,.243,5.3,12.3,.433,.425,2.3,3.3,.701,0.8,1.6,2.4,2.8,,,2.6,2.8,14.1
1970-71,27.0,PTC,ABA,PG,32,,30.4,6.0,14.3,.421,0.3,1.2,.270,5.7,13.2,.435,.432,2.4,3.4,.704,0.8,1.8,2.6,4.0,,,4.0,3.2,14.8
1970-71,27.0,MMP,ABA,SG,56,,22.7,5.5,13.6,.406,0.4,1.8,.232,5.1,11.8,.432,.421,2.3,3.3,.699,0.8,1.4,2.3,2.2,,,1.8,2.5,13.7
1971-72,28.0,MMP,ABA,PG,82,,31.5,5.9,15.3,.382,0.5,2.1,.236,5.4,13.2,.405,.398,3.6,4.8,.744,1.0,1.7,2.8,3.1,,,2.8,3.0,15.8
1972-73,29.0,TOT,ABA,PG,32,,11.6,1.2,3.6,.322,0.1,0.6,.150,1.1,3.0,.358,.335,1.3,1.8,.719,0.1,0.4,0.6,1.8,,,1.1,1.7,3.7
1972-73,29.0,MMT,ABA,PG,10,,21.9,2.5,7.5,.333,0.3,1.4,.214,2.2,6.1,.361,.353,1.9,2.6,.731,0.2,1.0,1.2,4.2,,,2.4,3.1,7.2
1972-73,29.0,UTS,ABA,PG,22,,6.9,0.5,1.8,.300,0.0,0.3,.000,0.5,1.5,.353,.300,1.0,1.4,.710,0.1,0.2,0.3,0.8,,,0.5,1.0,2.1
Career,,,ABA,,372,,30.8,6.3,16.1,.390,0.6,2.1,.264,5.7,14.0,.409,.407,3.1,4.3,.713,1.0,1.6,3.1,2.7,,,2.8,3.1,16.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,"PTP,MNP,PTC",ABA,,202,,35.8,7.5,19.1,.391,0.7,2.5,.285,6.8,16.7,.407,.410,3.3,4.7,.703,1.3,2.0,3.9,2.8,,,3.4,3.5,19.0
3 seasons,,"MMP,MMT",ABA,,148,,27.5,5.5,14.1,.389,0.5,1.9,.233,5.0,12.2,.413,.405,3.0,4.1,.730,0.9,1.6,2.5,2.8,,,2.4,2.9,14.4
1 season,,UTS,ABA,,22,,6.9,0.5,1.8,.300,0.0,0.3,.000,0.5,1.5,.353,.300,1.0,1.4,.710,0.1,0.2,0.3,0.8,,,0.5,1.0,2.1
