Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,24.0,SFW,NBA,PG,75.0,,19.6,3.2,7.6,0.42,1.5,1.9,0.768,,,2.4,3.3,,,2.3,7.8
1969-70,25.0,SFW,NBA,PG,80.0,,30.4,5.7,13.1,0.432,3.5,4.2,0.822,,,2.4,5.3,,,3.6,14.8
1970-71,26.0,SFW,NBA,PG,82.0,,34.3,5.2,11.9,0.436,4.0,4.8,0.844,,,3.0,5.9,,,3.7,14.4
1971-72,27.0,GSW,NBA,PG,80.0,,24.2,3.6,7.7,0.474,2.4,2.9,0.833,,,1.8,3.9,,,2.9,9.7
1972-73,28.0,GSW,NBA,PG,73.0,,13.9,2.5,5.6,0.44,1.0,1.1,0.904,,,1.1,1.6,,,1.5,6.0
1973-74,29.0,MIL,NBA,PG,71.0,,15.9,2.7,5.5,0.489,0.8,1.0,0.882,0.3,0.7,1.0,2.2,0.7,0.0,1.6,6.3
1974-75,30.0,MIL,NBA,PG,46.0,,11.4,1.3,3.6,0.376,0.5,0.6,0.828,0.2,0.7,0.9,1.5,0.5,0.0,1.5,3.2
1975-76,31.0,LAL,NBA,PG,9.0,,17.6,1.9,4.8,0.395,1.1,1.4,0.769,0.2,1.9,2.1,2.3,0.3,0.0,1.7,4.9
Career,,,NBA,,516.0,,22.2,3.6,8.2,0.441,2.1,2.5,0.833,0.2,0.8,1.9,3.5,0.6,0.0,2.5,9.3
,,,,,,,,,,,,,,,,,,,,,
5 seasons,,"SFW,GSW",NBA,,390.0,,24.8,4.1,9.3,0.439,2.5,3.0,0.831,,,2.2,4.0,,,2.8,10.7
2 seasons,,MIL,NBA,,117.0,,14.2,2.2,4.8,0.455,0.7,0.8,0.866,0.2,0.7,1.0,1.9,0.6,0.0,1.6,5.1
1 season,,LAL,NBA,,9.0,,17.6,1.9,4.8,0.395,1.1,1.4,0.769,0.2,1.9,2.1,2.3,0.3,0.0,1.7,4.9
