Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,23.0,BAL,NBA,SG,50.0,,4.5,0.7,2.3,0.296,,,,0.7,2.3,0.296,0.296,0.3,0.6,0.536,,,0.5,0.1,,,0.9,1.7
1971-72,24.0,TOT,TOT,SG,40.0,,13.8,2.3,6.5,0.347,0.0,0.0,0.0,2.3,6.5,0.349,0.347,0.7,1.0,0.634,0.1,,1.9,0.8,,0.2,2.0,5.2
1971-72,24.0,BAL,NBA,SG,28.0,,16.8,3.0,8.2,0.362,,,,3.0,8.2,0.362,0.362,0.8,1.3,0.629,,,2.3,1.1,,,2.2,6.7
1971-72,24.0,NYA,ABA,SG,12.0,,6.8,0.6,2.5,0.233,0.0,0.1,0.0,0.6,2.4,0.241,0.233,0.3,0.5,0.667,0.4,0.4,0.8,0.2,,0.8,1.3,1.5
Career,,,TOT,,90.0,,8.7,1.4,4.2,0.332,0.0,0.1,0.0,1.4,4.1,0.332,0.332,0.5,0.8,0.594,0.4,0.4,1.1,0.4,,0.8,1.3,3.2
,,,NBA,,78.0,,8.9,1.5,4.4,0.34,,,,1.5,4.4,0.34,0.34,0.5,0.8,0.587,,,1.2,0.5,,,1.3,3.5
,,,ABA,,12.0,,6.8,0.6,2.5,0.233,0.0,0.1,0.0,0.6,2.4,0.241,0.233,0.3,0.5,0.667,0.4,0.4,0.8,0.2,,0.8,1.3,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BAL,NBA,,78.0,,8.9,1.5,4.4,0.34,,,,1.5,4.4,0.34,0.34,0.5,0.8,0.587,,,1.2,0.5,,,1.3,3.5
1 season,,NYA,ABA,,12.0,,6.8,0.6,2.5,0.233,0.0,0.1,0.0,0.6,2.4,0.241,0.233,0.3,0.5,0.667,0.4,0.4,0.8,0.2,,0.8,1.3,1.5
