Player,Pos,Ht,PTS,AST,TRB,STL,BLK,eFG%,FT%,TOV,PF,ChrissyMetric
Stephen Curry,G,6-2,17.671590673062546,7.960781291089502,0.930695330365514,4.4176845512256815,-0.9713902480002001,5.45049686181735,1.6037770911419156,-2.4131033057061244,0.11950803411390828,34.77004027911009
Kevin Durant,F-G,6-11,15.921988538906737,4.866417104188253,4.309748608524055,0.5773419232075383,2.0076944027880037,2.929601192674469,1.499853661973848,-2.6729681913405154,0.3001760621566986,29.739853303079084
Russell Westbrook,G,6-4,11.594025364942373,14.695573933168689,3.827026711644264,4.068562494133123,-0.6734817829213797,-0.7854029513255604,0.606112171128469,-3.7124277338780787,-0.7838321061000426,28.83615610079186
James Harden,G,6-5,16.658663121709186,9.416952673160676,1.7754586499051488,3.0211963228554475,0.22024361231508144,0.23180056429349674,1.1049446311351918,-4.102225062329665,-1.3258361902284128,27.001198322816148
LeBron James,F-G,6-9,13.251543176247875,8.142802713848397,3.344304814764473,1.973830151577772,0.22024361231508144,1.9566239168649413,-0.23566760513287743,-2.4131033057061244,0.3001760621566986,26.540753536936236
Chris Paul,G,6-0,7.910652450930149,13.967488242133099,-0.5174703602738617,4.4176845512256815,-0.9713902480002001,0.45293176334111784,1.4790689761402347,-1.5035762059857563,-0.7838321061000426,24.451557063410416
Anthony Davis,F-C,6-10,12.33069994774482,-0.7762470013375523,6.844038567142963,1.624708094485214,4.390962123418567,0.054895605055399845,0.04492565362090473,-0.7239815490825834,-0.6031640780572524,23.186837362990484
John Wall,G,6-3,8.278989742331369,14.331531087650891,0.3272929592657742,3.7194404370405643,0.8160605424727223,-1.7583802271350908,0.3878729698755274,-3.4525628482436876,-0.061159993928882064,22.589084669329186
DeMarcus Cousins,C-F,6-10,14.724892341852765,1.7720529172870045,8.292204257782338,2.6720742657628893,2.6035113329456445,-1.316117829039851,-0.3707680630513651,-3.0627655197921015,-2.771180414570735,22.543903289176587
Kawhi Leonard,F,6-7,9.476085939385344,0.4979029579747265,2.620221969444785,3.3703183799480065,1.411877472630363,2.575791274198276,1.250437431970486,-0.07431933499660599,0.4808440901994886,21.609160180754873
Draymond Green,F,6-6,2.8460146941633386,9.23493125040178,5.878594773383379,2.3229522086703307,2.6035113329456445,1.9566239168649413,-0.5993996072211135,-2.2831708628889293,-1.6871722463139935,20.272885460005377
DeAndre Jordan,C,6-11,1.6489184971093644,-2.050396960649831,11.067855164841141,-0.47002424807013743,5.284687518655027,8.679012367912613,-3.3637628230917054,0.05561310782058959,-1.1451681621856233,19.70673446234144
Kyle Lowry,G,6-0,9.476085939385344,7.414717022812811,0.08593201082587809,4.4176845512256815,-0.3755733178425592,0.4087055235315936,0.5957198282116623,-1.8933735344373426,-1.1451681621856233,18.98472986152745
Damian Lillard,G,6-2,13.067374530547266,8.142802713848397,-0.7588313087137577,0.22821986611497982,-0.3755733178425592,-0.4315930328493666,1.4374996044730075,-2.2831708628889293,-0.2418280219716724,18.784900170717364
Hassan Whiteside,C,7-0,3.0301833398639495,-3.5065683427210064,8.654245680442184,-0.8191463051626957,9.455406029758514,4.389067106388769,-1.0774473813942227,-0.5940491062653878,-1.3258361902284128,18.20585483068169
Pau Gasol,C-F,7-0,5.148122765420979,3.22822429935818,7.688801886682599,-0.8191463051626957,4.390962123418567,-1.139212869801754,0.3982653127923341,-1.1137788775341695,-0.061159993928882064,17.721078341245157
Kemba Walker,G,6-0,9.199832970834427,5.230459949706047,-0.27610941183396553,2.6720742657628893,-0.07766485276373888,-0.520045512468415,0.969844173216704,-0.853913991899779,1.2035162023706496,17.547993792924817
Paul George,F-G,6-8,11.225688073541153,3.22822429935818,2.8615829178846806,3.7194404370405643,-0.3755733178425592,-0.7411767115160361,1.1049446311351918,-2.4131033057061244,-1.3258361902284128,17.28419083366664
Jimmy Butler,F-G,6-7,9.199832970834427,4.502374258670459,0.8100148561455655,2.6720742657628893,0.22024361231508144,-0.9623079105636573,0.8139590294646029,-0.7239815490825834,0.3001760621566986,16.83238559570348
Paul Millsap,F,6-7,5.700628702522814,1.7720529172870045,5.27519240228364,3.3703183799480065,3.4972367281821057,-0.07778311437317283,0.034533310704097986,-1.2437113203513652,-1.5065042182712032,16.821963787931928
Karl-Anthony Towns,C-F,7-0,6.805640576726482,-0.5942255785786552,7.085399515582859,-0.47002424807013743,3.4972367281821057,2.133528876103038,0.5957198282116623,-0.9838464347169745,-1.6871722463139935,16.382257017126392
Rajon Rondo,G,6-1,0.9122439143069205,17.061852429034342,1.6547781756852014,4.068562494133123,-1.2692987130790205,-0.5642717522779392,-1.804911385570695,-3.1926979626092975,-0.6031640780572524,16.263093121565383
Carmelo Anthony,F,6-7,10.028591876487178,3.4102457221170774,3.7063462374243166,0.22821986611497982,-0.07766485276373888,-1.4487965484684238,0.7827820007141826,-1.2437113203513652,-0.7838321061000426,14.602180875174163
Al Horford,C-F,6-9,3.9510265683670056,1.5900314945281082,3.2236243405445246,-0.12090219097757858,2.901419798024465,1.7797189576268444,0.46061937029317457,0.1855455506377849,0.11950803411390828,14.090591923158238
Isaiah Thomas,G,5-9,10.3969291678884,7.050674177295017,-1.9656360509132373,0.9264639803000971,-1.2692987130790205,-0.8296291911350846,1.219260403220066,-1.633508648802952,0.11950803411390828,14.014763158887192
Andre Drummond,C,6-11,4.871869796870062,-2.7784826516854184,12.274659907040622,2.3229522086703307,2.6035113329456445,0.674062962388739,-4.1431885418522105,-0.5940491062653878,-1.6871722463139935,13.544163661798384
Giannis Antetokounmpo,F-G,6-11,5.516460056822201,3.592267144875974,3.7063462374243166,1.275586037392655,2.6035113329456445,0.5856104827696905,-0.3084140055505247,-1.5035762059857563,-2.0485083023995743,13.419282778294628
Brook Lopez,C,7-1,8.923580002283511,-0.5942255785786552,3.827026711644264,-0.12090219097757858,3.4972367281821057,0.23180056429349674,0.34630359820830037,-1.2437113203513652,-1.5065042182712032,13.360604296432875
Klay Thompson,G-F,6-6,10.304844845038097,-0.41220415581975817,-1.000192257153654,-0.12090219097757858,0.22024361231508144,2.7526962334363723,1.2400450890536794,-0.3341842206309969,0.3001760621566986,12.950523017417945
Nikola Vucevic,C,6-10,6.713556253876175,0.8619458034925199,5.154511928063692,-0.12090219097757858,1.7097859377091837,0.18757432448397252,-0.007036060963128998,-0.5940491062653878,-1.1451681621856233,12.760218727233823
Dwight Howard,C,6-10,2.569761725612421,-1.686354115132037,8.654245680442184,0.5773419232075383,3.1993282631032858,5.008234463722108,-2.7506145910001076,-1.1137788775341695,-1.867840274356784,12.590324198064437
DeMar DeRozan,G-F,6-6,11.594025364942373,3.0462028765992835,-0.155428937614018,0.5773419232075383,-0.6734817829213797,-1.9352851863731877,1.0010212019671243,-0.9838464347169745,-0.061159993928882064,12.409389031161876
Nicolas Batum,F-G,6-8,3.6747735998160898,6.322588486259428,1.7754586499051488,0.22821986611497982,0.22024361231508144,-0.0335568745636486,0.9906288590503175,-1.8933735344373426,0.8421801462850689,12.127162810745123
LaMarcus Aldridge,F-C,6-11,6.529387608175564,-1.50433269237314,4.6717900311839,-1.168268362255254,1.7097859377091837,0.27602680410302094,1.0841599453015782,0.1855455506377849,0.11950803411390828,11.903602856596546
CJ McCollum,G,6-3,9.107748647984122,3.592267144875974,-1.7242751024733414,1.275586037392655,-0.6734817829213797,0.45293176334111784,0.7619973148805691,-1.3736437631685607,-0.42249605001446194,10.996634209896692
Derrick Favors,F-C,6-9,5.056038442570673,-1.50433269237314,4.189068134304108,1.275586037392655,2.901419798024465,0.3644792837220694,-0.46429914930262584,-0.3341842206309969,-0.6031640780572524,10.880611555649955
Kevin Love,F-C,6-8,4.687701151169451,0.13386011245693233,6.361316670263172,-0.12090219097757858,-0.07766485276373888,-0.34314055323031817,0.7100356002965353,-0.46411666344819247,-0.061159993928882064,10.825929279837379
Khris Middleton,F-G,6-7,6.713556253876175,3.4102457221170774,-1.000192257153654,3.0211963228554475,-0.9713902480002001,0.010669365245875624,1.3959302328057805,-1.1137788775341695,-0.964500134142833,10.5017363800695
Greg Monroe,C-F,6-11,4.043110891217313,-0.04816131030196478,5.033831453843745,0.22821986611497982,0.8160605424727223,0.674062962388739,-0.1421365188816167,-0.20425177781380158,-0.061159993928882064,10.339576115111232
Gordon Hayward,F-G,6-7,8.094821096630758,2.500138608322593,0.4479734334857217,1.275586037392655,-0.6734817829213797,-0.6084979920874635,0.7308202861301488,-1.3736437631685607,-0.42249605001446194,9.971219873770009
Dirk Nowitzki,F-C,7-0,6.805640576726482,-0.958268424096449,2.258180546784941,-0.47002424807013743,0.5181520773939017,-0.12200935418269704,1.4478919473898144,0.4454104362721758,-0.061159993928882064,9.863813564289151
Victor Oladipo,G,6-3,4.687701151169451,2.864181453840386,0.20661248504582563,2.6720742657628893,0.8160605424727223,-0.7854029513255604,0.7931743436309894,-0.853913991899779,-0.6031640780572524,9.797323220639672
Dwyane Wade,G,6-4,7.450230836678621,4.138331413152664,-0.6381508344938103,0.9264639803000971,0.22024361231508144,-2.1121901456112844,0.40865765570914087,-1.633508648802952,0.8421801462850689,9.602258015532625
Marcin Gortat,C-F,6-11,2.3855930799118106,-1.686354115132037,6.361316670263172,-0.8191463051626957,2.305602867866824,2.664243753817324,-0.5058685209698528,-0.20425177781380158,-0.964500134142833,9.536635518637908
Jrue Holiday,G,6-4,5.424375733971897,6.686631331777222,-1.9656360509132373,1.973830151577772,-0.6734817829213797,-0.9623079105636573,0.9282748015494771,-1.5035762059857563,-0.42249605001446194,9.485614018477875
Ricky Rubio,G,6-2,-0.7452738969985816,11.601209746267438,-0.39678988605391413,4.4176845512256815,-1.2692987130790205,-3.5274298195160596,0.969844173216704,-1.3736437631685607,-0.964500134142833,8.711802257750852
Thaddeus Young,F,6-8,3.8589422455167006,-0.7762470013375523,5.27519240228364,2.3229522086703307,-0.07766485276373888,0.49715800315064207,-1.1398014388950632,-0.5940491062653878,-0.7838321061000426,8.582650354259528
Reggie Jackson,G,6-2,7.26606219097801,7.050674177295017,-1.7242751024733414,-0.47002424807013743,-1.2692987130790205,-1.09498662999223,1.1465140028024188,-1.763441091620147,-0.6031640780572524,8.538060507783317
Jeff Teague,G,6-3,4.411448182618534,6.504609909018326,-2.3276774735730807,1.275586037392655,-0.6734817829213797,-0.520045512468415,0.8659207440486365,-1.763441091620147,-0.061159993928882064,7.711759018566245
Rudy Gay,F,6-8,5.792713025373119,-1.1402898468553462,2.258180546784941,1.973830151577772,0.5181520773939017,-0.29891431342079394,0.2735571977906532,-0.7239815490825834,-0.964500134142833,7.688747155418831
Rudy Gobert,C,7-1,-1.666117125501638,-1.50433269237314,7.688801886682599,-0.47002424807013743,4.986779053576209,2.310433835341135,-1.9192271576555693,-0.5940491062653878,-1.1451681621856233,7.687096283548447
Tobias Harris,F,6-8,3.4906049541154776,-0.23018273306086107,2.499541495224837,0.22821986611497982,-0.07766485276373888,0.32025304391254517,0.8035666865477961,0.05561310782058959,0.11950803411390828,7.209459602025533
Marvin Williams,F,6-8,0.7280752686063083,-1.686354115132037,2.1375000725649933,-0.47002424807013743,1.411877472630363,2.089302636293514,0.8243513723814095,0.8352077647237622,0.8421801462850689,6.712116370283244
Jonas Valanciunas,C,6-11,1.7410028199596717,-2.9605040744443154,5.395872876503587,-1.5173904193478127,2.305602867866824,2.575791274198276,0.07610268237132498,0.05561310782058959,-0.964500134142833,6.707591000785312
Monta Ellis,G,6-3,2.661846048462728,4.320352835911563,-1.6035946282533937,3.7194404370405643,-0.07766485276373888,-1.6257015077065207,0.3359112552914936,-1.3736437631685607,-0.061159993928882064,6.2957858308852535
Jae Crowder,F,6-6,3.0301833398639495,-0.958268424096449,0.5686539077056693,3.0211963228554475,-0.07766485276373888,0.49715800315064207,0.6892509144629219,0.4454104362721758,-1.1451681621856233,6.070751485264995
Andrew Wiggins,F-G,6-7,9.015664325133816,-0.5942255785786552,-1.2415532055935494,0.5773419232075383,0.22024361231508144,-1.139212869801754,0.07610268237132498,-0.9838464347169745,0.11950803411390828,6.050022488450737
Nerlens Noel,C-F,6-10,0.17556933150447482,-0.958268424096449,4.189068134304108,3.3703183799480065,2.901419798024465,0.674062962388739,-1.7009879564026276,-1.2437113203513652,-1.5065042182712032,5.900966687048148
Trevor Ariza,F,6-8,1.6489184971093644,-0.04816131030196478,-0.155428937614018,4.068562494133123,-0.6734817829213797,0.7182892021982632,0.3047342265410734,0.05561310782058959,-0.2418280219716724,5.677217474993379
Kristaps Porzingis,F-C,7-2,3.122267662714256,-1.8683755378909335,3.2236243405445246,-0.47002424807013743,4.0930536583397465,-1.7583802271350908,0.8763130869654433,-0.3341842206309969,-1.3258361902284128,5.558458324608399
Darren Collison,G,6-0,2.8460146941633386,3.592267144875974,-2.810399370452873,0.5773419232075383,-1.2692987130790205,1.5585877585792234,1.0841599453015782,-0.46411666344819247,0.3001760621566986,5.414732781304266
Ryan Anderson,F,6-9,5.608544379672508,-2.2324183834087274,1.6547781756852014,-0.8191463051626957,-0.3755733178425592,-0.3873667930398424,1.2400450890536794,0.05561310782058959,0.661512118242279,5.405988071020433
Goran Dragic,G,6-4,2.938099017013644,6.322588486259428,-1.000192257153654,0.5773419232075383,-0.9713902480002001,0.27602680410302094,-0.2772369768001044,-1.5035762059857563,-0.964500134142833,5.397160408501084
Will Barton,G,6-5,3.2143519855645613,0.3158815352158294,1.4134172272453052,0.22821986611497982,-0.07766485276373888,-0.7854029513255604,0.5437581136276286,-0.3341842206309969,0.4808440901994886,4.999220793247497
Chandler Parsons,F,6-9,2.569761725612421,0.8619458034925199,0.08593201082587809,-0.12090219097757858,-0.6734817829213797,2.841148713055421,-0.7241077222227934,-0.20425177781380158,0.3001760621566986,4.936220841207384
Zach Randolph,F-C,6-9,4.043110891217313,-0.41220415581975817,3.827026711644264,-0.8191463051626957,-0.9713902480002001,-1.2276653494208025,0.4398346844595611,-0.07431933499660599,-0.061159993928882064,4.744086899992194
Gorgui Dieng,C,6-10,-0.7452738969985816,-1.1402898468553462,2.9822633921046284,0.9264639803000971,2.0076944027880037,1.3374565595316024,0.7619973148805691,-0.3341842206309969,-1.1451681621856233,4.650959522934354
Ish Smith,G,6-0,1.5568341742590595,7.596738445571706,-0.7588313087137577,0.9264639803000971,-0.6734817829213797,-2.952488701992245,-0.6305766359715338,-1.1137788775341695,0.661512118242279,4.612391411240056
Deron Williams,G,6-3,2.938099017013644,6.322588486259428,-2.086316525133185,0.22821986611497982,-0.9713902480002001,-1.316117829039851,1.1984757173864524,-1.1137788775341695,-0.6031640780572524,4.596615529009846
Kenneth Faried,F-C,6-8,1.464749851408754,-2.050396960649831,4.913150979623795,-1.168268362255254,1.1139690075515427,2.2662075955316108,-1.4619640693160723,0.05561310782058959,-0.7838321061000426,4.349229043615093
